id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
EKP14WPH1Z,crossover,0.22306445034690314,0.044718385228880636,1,15,24,1487,4,3
UM8V84CVRA,mutation,0.20618433626101773,0.052540593057551654,0,14,22,1144,4,3
CCV8IY5MBK,crossover,0.20851523059403143,0.046177122222561984,1,14,27,1052,4,2
G7XZL6HDGH,crossover,0.20785474007606408,0.03970662637707831,1,12,26,824,4,2
VLRGSSXZSF,crossover,0.19885746786680558,0.05896452607379446,0,14,15,647,3,6
0FN2MTAFVP,crossover,0.1914377670250148,0.07162440337031487,0,13,13,571,3,5
FVFUCKMT5D,mutation,0.2648035600084391,0.019284655949339646,0,14,24,2081,,3
GBFCRW3CLG,crossover,0.26927541929960186,0.012211970677926988,0,13,19,1920,5,3
KCA58Q166F,crossover,0.3248125831664366,0.011489204373292122,1,21,28,1470,7,9
89HNJBHA57,crossover,0.2979824938735527,0.0008770491119704099,0,20,24,1316,6,8
WL38HAZQB2,mutation,0.18848146160319545,0.07001833324530411,0,12,6,846,3,5
BVF4D7DZPJ,crossover,0.18946596397712567,0.08351529901675983,0,11,6,511,2,4
054R1HH6P7,crossover,0.2617513384907497,0.01771229175295848,0,16,16,1866,5,4
J4OJOPE88W,crossover,0.22157290650514183,0.040242098913348665,0,15,11,1579,4,3
0I33DDMCIS,crossover,0.25900570505581777,0.024711310458706406,1,19,29,1789,5,3
9XRQRVKDXR,mutation,0.220688474823721,0.04035572611604847,1,16,28,1474,4,3
NUPN7P0U84,mutation,0.194782459576344,0.062096050082145166,0,14,27,605,3,5
7VCR0MSRAY,crossover,0.171504257984039,0.0851675844872112,0,8,18,474,3,4
UL6D5NMIB6,crossover,0.28691047980506557,0.004644120991079394,1,20,33,1736,6,5
Z9X6J3TS41,crossover,0.2544688161746508,0.017330754540223335,1,13,32,1189,5,4
AHKRS6O7BD,crossover,0.21165466195771343,0.041560104967906394,1,13,22,1672,4,1
PHQKI7AJOO,crossover,0.18923013667710498,0.06408991212829658,0,12,14,1353,3,1
POTLOSLVID,crossover,0.1891023923767271,0.06620435105315389,0,12,17,575,3,5
4IUQJVTHRB,mutation,0.17312696752004264,0.06676657984204776,0,10,16,546,3,5
DDCKAY7PGL,crossover,0.32149226373624673,0.0049116835173144205,0,19,30,529,7,6
AUQI7GXRUC,crossover,0.28328281856717363,0.015269828120613019,0,17,22,376,6,5
VI831NMPD4,crossover,0.2825564900947931,0.014192628339666807,0,21,17,667,6,7
CMMPSH3OES,crossover,0.3069744865182715,0.004067992850173327,0,13,15,298,6,5
81QVHAJHZ5,crossover,0.3385361770484232,0.008564433226123006,0,23,17,1022,8,6
UIGGBMHXRN,crossover,0.29994447381957723,0.0029647317842042276,0,18,15,922,6,6
H3CVPAKH8T,crossover,0.2069219752204976,0.03918470570901984,1,12,28,1362,4,5
XUJXXHXG1V,crossover,0.20517660027096607,0.03767245621009149,0,11,28,863,4,4
D6ZXGUHU99,mutation,0.18989579356417874,0.07110248270225641,0,13,26,700,3,3
LWO837O1LW,crossover,0.171504257984039,0.06724159019706501,0,9,23,560,3,2
ZBDY5VHD9X,crossover,0.17095400211738931,0.07445500640760128,1,9,21,215,3,5
JLKI7SYHZQ,mutation,0.1700053615493422,0.08464566381915273,0,8,11,207,3,4
C6T7QH4JYY,crossover,0.2019130079816166,0.04609685346469147,0,12,27,1064,4,4
D6RZOQQSRX,crossover,0.20572349056971706,0.0387430537988319,0,11,25,811,4,3
I0X495SFOQ,crossover,0.20141782459214885,0.04638457005134421,0,12,30,711,4,4
15C87FZ56B,crossover,0.18328882698300364,0.05960007394455269,0,11,30,683,3,3
KTYMFP1BVI,mutation,0.22118624673014475,0.027970013537968852,1,9,34,1040,4,3
RWHRQ9CNJA,crossover,0.21216073771260802,0.036347500479527645,0,8,26,984,4,3
PSFJOVZ1YV,crossover,0.1843204911634836,0.05881719294246501,0,11,15,607,3,5
E5Y2P8H2CB,mutation,0.1897121216608738,0.08374950309816556,0,11,12,534,2,5
3M8NHUMDEG,crossover,0.18428217674558267,0.060382954946640394,0,11,17,578,3,5
W76RA4OJJK,mutation,0.1855071079136198,0.059312357357899984,0,11,18,543,3,5
N2403RKC96,crossover,0.20079324510592522,0.04613021190952078,0,10,19,1451,4,3
0SQU96RKZW,mutation,0.21492770703430752,0.032433095469089235,0,9,19,1604,4,3
U9WEODQAXU,mutation,0.2213349038996354,0.02684590344398144,1,11,26,1499,4,6
PFBBJYJYR5,crossover,0.20572349056971706,0.0387430537988319,0,11,24,1385,4,2
DX4ZJS2WDO,crossover,0.21254050796695356,0.04017503453988974,1,13,17,1014,4,2
CXWU4WP9MV,crossover,0.19136409997434345,0.07141695554153264,0,13,15,969,3,2
8XVML00QMS,crossover,0.20572349056971706,0.0387430537988319,0,11,24,1266,4,4
LLZI1PJWVF,crossover,0.2059340652198065,0.038716297546208395,0,11,22,1249,4,3
S3SSR89UEL,mutation,0.2069648181984869,0.04746176983229042,1,10,26,826,4,4
XSIOFNZK8V,mutation,0.18337712652605298,0.0574588787670719,0,11,23,821,3,4
JQNJXM28YI,crossover,0.22138608903460144,0.029040611126709276,1,9,32,726,4,3
MCBMT4C8NY,crossover,0.2145337323443175,0.030787064707043357,1,8,29,538,4,2
IKEOMT622M,crossover,0.22118624673014475,0.029562531794767727,1,9,25,770,4,3
VMXOG6I19V,mutation,0.28291236509665985,0.009274342630146579,1,8,23,597,5,3
BWLVWXP0AP,crossover,0.2774130717908414,0.00788927220212994,0,9,24,1482,5,3
XF7KZXS1RP,crossover,0.2774954131879761,0.008150232536159166,0,9,22,1079,5,2
SCT5PVI3DC,crossover,0.21473982327118546,0.03031865654423191,0,9,32,1426,4,3
LIZLQAFGNA,mutation,0.2139683096429078,0.03559137573006346,0,8,18,646,4,3
8N5IKQPYFF,crossover,0.2009143364276076,0.04584249532286805,0,10,21,1053,4,3
TGSU4OSCW2,mutation,0.21472959959426685,0.03240633921646573,0,9,21,958,4,2
VKKJZK921Q,crossover,0.25700942985437314,0.021245159550661745,1,13,21,1382,5,5
VU97VTKV58,crossover,0.20780859151196185,0.04244340878828229,0,13,21,1119,4,5
AVJDVLIGL9,crossover,0.2222813603536804,0.024918758287488636,1,11,33,1151,5,4
XCUR4QHFD4,crossover,0.2221971228160925,0.025514345521211804,1,11,33,1078,4,3
WWST6H6IP2,crossover,0.18355831969929626,0.05777335160634811,0,11,16,586,3,5
LBOGLM8SPS,crossover,0.17421667949129938,0.06781042117816466,0,10,15,567,3,5
CB1GBJ622E,mutation,0.27279514825189133,0.015276777796619123,0,21,15,1358,5,4
001WD7F4PZ,crossover,0.2625825626666868,0.023426662848977986,0,16,12,943,5,4
B2WJTM5EH2,mutation,0.27383956695533607,0.010940527452610163,1,9,29,1273,5,1
S5OXDS4MBO,crossover,0.26153562195602476,0.014145718026625606,0,7,28,1061,4,1
QDJBUUYQMX,mutation,0.2741755639158714,0.01377113048989656,0,17,20,817,5,7
2PF1WFV0MD,crossover,0.20852845327184732,0.04030881580300727,0,11,15,706,4,5
MRQD438AHT,mutation,0.2149178461270942,0.031335741627725316,1,8,20,703,4,4
FYBOC6T9SF,crossover,0.1783005731343208,0.06458507654373152,0,7,20,453,3,4
GMARW3JQHW,mutation,0.2222813603536804,0.026511276544287504,1,11,28,957,5,4
VGYQGJOJWL,mutation,0.20118367344133736,0.04558153498883882,0,10,22,706,4,4
XEXW1GLIMM,crossover,0.2222813603536804,0.024918758287488636,1,11,33,1115,5,4
IEXN2KCYOS,crossover,0.2221971228160925,0.025514345521211804,1,11,33,1114,4,3
BPV60BO02M,crossover,0.35989288242989725,0.0024219620881274564,1,25,25,1085,8,7
09N3AZN87T,mutation,0.30820414654512596,0.00675855991593672,0,23,21,675,7,7
TW0C4BK42E,crossover,0.2222813603536804,0.024918758287488636,1,11,37,1079,5,3
23TB0L9YB0,crossover,0.2005538073911174,0.0435206085692285,0,10,34,991,4,3
SDKAKL0DL4,mutation,0.17122475984400276,0.08514082823458771,0,8,22,514,3,3
ULXQQM9EIX,crossover,0.17111207030100373,0.08487986790055849,0,8,21,499,3,3
20KZTSR1AH,mutation,0.22118624673014475,0.029562531794767727,1,9,24,982,4,3
N0TZBXQX3L,crossover,0.2150164607734686,0.0321453788824365,0,9,22,652,4,2
M4RKC09NID,crossover,0.200695667820305,0.04586925157549156,0,10,29,934,4,2
0HGP4YH939,crossover,0.17122475984400276,0.08514082823458771,0,8,29,810,3,2
Q99B1N0WOM,crossover,0.18316438121217304,0.06012199461261117,0,11,26,622,3,4
YDAU9BMJ6U,crossover,0.17452984064674748,0.06702754017607698,0,10,20,607,3,4
L7LV4S4SFS,crossover,0.2070449064278489,0.04667888883020273,1,10,30,952,4,4
XIDRAP7846,crossover,0.17348255775681942,0.06752270459151194,0,10,27,909,3,3
OZW1TW8K7U,crossover,0.20052368098331208,0.04639117224355001,0,10,20,553,4,4
PVLIL4DJQX,mutation,0.17095503966583792,0.06752930678371774,0,9,19,517,3,4
B3TDHB9YVD,mutation,0.2303689940778374,0.026879261888810735,1,12,26,1352,5,4
Z9DS5JTOWW,mutation,0.200695667820305,0.04586925157549156,0,10,25,1279,4,3
6HH4K20PAS,mutation,0.17160808818020445,0.06752930678371774,0,9,18,467,3,3
1N051VQ8NU,crossover,0.171504257984039,0.0851675844872112,0,8,16,300,3,3
NR7PAMVXO5,mutation,0.2225781998917865,0.02625031621025828,1,11,31,1242,5,3
7GTFSOJPP6,crossover,0.22209704499627658,0.025989355876229053,1,11,30,1220,5,2
TRX8ICKZ8G,crossover,0.17019832002612734,0.07610103716964714,1,9,17,211,3,5
AGUQ92TARN,crossover,0.17141073542184815,0.08568950515526966,0,8,15,211,3,4
TUGF35LNI0,mutation,0.40603259830363303,0.0005688309810996609,1,21,19,125,8,7
1YSN5T9VW7,crossover,0.2503057947653192,0.022864434060084114,0,16,15,114,5,7
00OJ3BPHLD,mutation,0.26034255263257233,0.020957442964009025,1,15,28,1446,5,5
ZAOS8P6IZC,crossover,0.2441506708407113,0.028786252984885845,1,14,26,1408,5,4
0FFLE1BO5S,crossover,0.3258939960371241,0.012011125041350573,1,22,27,880,7,7
WZRURYTI1W,crossover,0.32467437054931625,1.9806576617396876e-05,0,19,18,333,7,6
FVCFQ9IWMK,crossover,0.20840022072704045,0.03759218745222098,1,12,18,1409,4,4
0GWH5VLTDN,crossover,0.20251356623114114,0.04482541023937464,0,10,18,722,4,4
26P6HDPJDW,crossover,0.33171064098521486,0.012794006043438257,1,22,24,703,7,7
KNKRMR2XSZ,crossover,0.3140084131191955,0.004336250344008967,0,19,21,510,7,6
QZMCISMMO8,crossover,0.3604882379727361,0.004195171921085039,1,23,26,808,8,8
SWRW0IZL60,crossover,0.29405752908913685,0.012138304112262285,0,18,19,405,6,5
HYNUT6OM1N,crossover,0.29935923158270394,0.009896686116493247,1,15,30,600,6,5
EJKTDGZXNF,mutation,0.30327784832698446,0.00966248203508753,0,14,28,295,6,4
P2D6997VV7,crossover,0.2222813603536804,0.024918758287488636,1,11,34,998,5,4
QJ4K1BPN0A,crossover,0.2057073364837131,0.03769921246271499,0,11,31,944,4,3
HT1YA8M5ZC,crossover,0.200695667820305,0.04586925157549156,0,10,28,981,4,3
AAK2HMITR3,crossover,0.21216073771260802,0.036347500479527645,0,8,28,943,4,2
SJA95HZZFO,crossover,0.3005721210512112,0.013529976732484732,1,18,20,345,6,6
LUD32K0LN6,crossover,0.3123104154190307,0.0014583895098810515,0,13,19,333,6,5
JM9ZBVPK6Q,crossover,0.20661238147557726,0.050098129425206195,1,10,21,390,4,5
2X7Q0VXQKZ,crossover,0.17095503966583792,0.06752930678371774,0,9,20,378,3,4
IFAWKP8OLN,mutation,0.308500759614577,0.012011125041350573,1,19,23,457,6,6
RYNDFVB3CA,crossover,0.25975482468134925,0.017250485782352824,0,14,22,290,5,5
8785N75F97,crossover,0.2059340652198065,0.038716297546208395,0,11,22,754,4,4
5AZGXQF3IZ,crossover,0.1737935319431526,0.06673982358942426,0,10,21,620,3,4
79DHVB1F0E,crossover,0.3880411714034002,0.002783345240444886,0,17,13,402,8,9
RNUE5J1P5H,crossover,0.2911409347715287,0.007206814018330468,0,17,12,252,6,8
DP9BLUPR00,mutation,0.2642709185422295,0.017959700218775798,0,12,34,1720,5,4
DQKV3GLP9F,mutation,0.2631913221269069,0.02109122422712653,0,12,26,1447,5,3
48TSGI8JZE,crossover,0.37619641183687624,0.008845547620569931,0,18,21,704,8,7
QY48YFG1WA,crossover,0.26664079497503124,0.01184398533340375,0,17,20,381,5,3
ILEQ7UTFES,crossover,0.2302782838405112,0.02661830155478151,1,12,23,1484,5,3
LIQN1DKB6L,crossover,0.2150164607734686,0.0321453788824365,0,9,23,660,4,2
XBONJ075RE,crossover,0.25405520660950487,0.018923272797022203,1,13,24,331,5,3
WMQINBPX6K,crossover,0.20069414326973378,0.04638457005134421,0,12,23,274,4,2
4FMMZQQUOF,crossover,0.26271030212612656,0.019572372535992366,0,14,21,1729,5,5
7KDPT5GTTH,mutation,0.20052368098331208,0.04639117224355001,0,10,20,1010,4,4
FVRTNRZ9NW,crossover,0.19980940795643443,0.04307235446683476,0,12,13,170,4,6
O3L25BW772,mutation,0.17528097389295283,0.052922130270286805,0,12,13,151,3,5
3SQHSH0GL9,crossover,0.17096973840835872,0.0755523602489652,1,9,19,214,3,5
