id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
BDW4QNG8PH,crossover,0.22551768172167763,0.04150659246265939,0,24,19,566,4
49LPOTLOSL,mutation,0.28203304209935287,0.009274342630146579,1,8,29,993,5
9X624IUQJV,crossover,0.2145337323443175,0.030787064707043357,1,8,28,953,4
CAKVX7DDCK,crossover,0.30052836109841463,0.009060292609158561,1,15,23,959,6
GLQMSD3RAU,crossover,0.27677420313858636,0.013864603632178667,1,10,22,645,5
W5P8M7YBQ8,crossover,0.2777599612277143,0.008330924112317888,1,7,18,1265,5
I831NMPD42,mutation,0.28038459275072647,0.010813348381698444,0,7,12,1218,5
34OHFZFNB3,mutation,0.2807399911006795,0.010552388047669219,0,7,31,546,5
1QVHAJHZ5G,crossover,0.18816671537627394,0.05628785836004324,0,6,28,383,4
XRN94BFDOM,crossover,0.2373461365593078,0.03529045475899914,0,24,12,908,4
S93UQH3CVP,crossover,0.21681103718810713,0.06132637346446909,0,24,11,797,3
1VWZHYD6EV,crossover,0.21644831675142773,0.0302919002916084,1,8,15,1139,4
4P2U1L7ND6,mutation,0.26152475042349144,0.014433434613278333,0,7,12,1104,4
37O1LWUTKC,crossover,0.2132370928793783,0.03545099227474015,1,13,37,400,4
Z3783S3VPV,crossover,0.2014847888282214,0.0443236436317339,0,12,36,366,4
Y6JLKI7SYH,crossover,0.275678543526512,0.006999366189548245,1,10,39,65,5
DPHQEFBNC3,mutation,0.2145463262525381,0.0292480589554915,0,9,38,275,4
DIWNDJ6JD6,crossover,0.23030603594030408,0.02737442630424569,1,12,22,809,5
SRXDWEFUIP,crossover,0.2059340652198065,0.04030881580300727,0,11,20,735,4
95SFOQ4CH4,crossover,0.27124696597406195,0.033711140886611854,1,21,16,1116,5
C87FZ56BAU,crossover,0.22176207149548788,0.04390214578196365,1,20,12,616,4
MFP1BVICW2,crossover,0.24625867067626017,0.017899585521322994,1,17,40,1481,5
RWHRQ9CNJA,crossover,0.2643118397968117,0.02101095546925602,0,14,39,773,5
8RPSFJOVZ1,crossover,0.25372855662183236,0.020776751387850297,0,21,27,181,5
O61E5Y2P8H,mutation,0.21140356381147818,0.03316246396592991,0,17,16,108,4
5ZVO3M8NHU,crossover,0.21117726216073096,0.049174864967795204,0,16,31,381,4
4R8JW76RA4,crossover,0.20377203577197678,0.05606685866304913,0,14,30,344,4
CHL9RB9C3K,crossover,0.2069648181984869,0.04746176983229042,1,10,29,702,4
03RKC96PI4,mutation,0.21178233266567514,0.036896177400209604,0,8,20,554,4
DFGR5ZVRU9,crossover,0.2817570397972804,0.008203745041406169,1,8,36,277,5
XUI7DPIPFB,crossover,0.2679256862538675,0.014386524300237125,0,8,36,190,5
8GWIPTUGDX,crossover,0.22422855541810527,0.05392566348556829,1,23,15,666,4
OPGZMFZEWC,mutation,0.2207169892104045,0.043714852013599134,0,15,13,648,4
A86D5H3Y8X,mutation,0.33275349313257474,0.008357680364941389,1,28,14,630,7
3D5VC78MNL,crossover,0.3190240163838455,0.007126545260459957,0,27,14,584,7
TJFNNUETM8,mutation,0.2689668740840522,0.018889914352192894,0,20,10,549,5
9UELLR3CA2,crossover,0.2206470848284624,0.044270131126486895,0,17,9,547,4
K0PVBDBPL0,crossover,0.2868740917426792,0.013015005740432378,0,23,19,732,6
RQSRYJQNJX,mutation,0.26357219833744183,0.012800955719444368,0,22,17,612,5
IHG7K5ME3M,crossover,0.2976419459243489,0.005427001993167077,1,19,26,1423,6
RIKEOMT622,crossover,0.2969081242321061,0.002515435230409549,0,19,24,1007,6
9V2ZYDR1YY,mutation,0.24891799954949356,0.025340256137258883,1,26,11,363,5
IHFGPHL4BW,crossover,0.25062923097330103,0.01782591895565829,0,25,8,301,5
XS1RPOI143,crossover,0.2679256862538675,0.014386524300237125,0,8,36,206,5
4HUULMSCT5,mutation,0.26127824255417753,0.013362837024537916,0,7,33,121,4
FGNA6ZPEK6,crossover,0.3379769116317285,0.0007425728812522729,1,10,38,1031,6
Z8SV55K4RJ,crossover,0.2763595331905998,0.007782247191635928,1,7,38,950,5
GSU4OSCW2J,crossover,0.24093934984044785,0.04410959361074587,0,20,14,1092,4
VGNZDX5NQ9,crossover,0.2428299147939169,0.039332038840349276,0,20,13,913,4
YHVU97VTKV,mutation,0.2217959676459157,0.040904403036730416,1,16,30,675,4
TD2PO1Q55U,mutation,0.21216073771260802,0.036347500479527645,0,8,22,937,4
UR4QHFD4Q5,mutation,0.293664780963102,0.011509358433709822,1,24,20,758,6
22UQH57YWW,crossover,0.26023489190423643,0.01993375568830981,0,16,17,528,5
LM8SPSGH1X,crossover,0.3440450087874545,0.002074478287822222,1,12,31,276,6
Y9ELF0KTCB,crossover,0.22991554974113115,0.03035201498906121,0,11,27,255,5
7F4PZM7D6L,crossover,0.36239904507596776,0.004456132255114265,1,24,28,857,8
PXMPGYRB2W,crossover,0.32791206998219125,0.006216485187460562,1,19,24,838,7
FFXVESA0C1,crossover,0.3043659712212149,0.0063169080057487725,1,26,17,690,6
D2ODG5XQDJ,mutation,0.2627966408696597,0.015055778099624995,0,22,12,431,5
6MX931IDM8,crossover,0.25590010124559426,0.02730075973858099,1,21,20,475,5
DJMRQD438A,mutation,0.26858573674719965,0.01069972117899863,0,13,12,280,5
8IWF5VU856,crossover,0.27994753506861847,0.010813348381698444,0,7,24,618,5
WM4GMARW3J,mutation,0.26153562195602476,0.014145718026625606,0,7,23,577,4
WLOUJENIWP,mutation,0.22118624673014475,0.029562531794767727,1,9,29,1140,4
