id,creation_mode,error,dem_fp,dem_ppv,num_leaves,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
QRGUTPNZE7,crossover,0.09861218113400261,1.0,0.1428571428571429,3,0,4,16,3,4,5
Z8DUZ0EZXU,crossover,0.06458565330651467,1.0,0.0,2,1,3,10,2,9,3
6O83E9V5ZB,mutation,0.06458565330651467,1.0,0.0,2,0,3,9,2,8,2
ZK4O7HWMIR,crossover,0.09861218113400261,1.0,0.1428571428571429,3,0,4,29,3,5,6
KZ4N6813QR,crossover,0.17084380241115005,0.4,0.25,2,0,3,29,2,4,5
FV87IIM3A4,crossover,0.0,1.0,0.0,4,0,4,9,4,7,5
YDMJGM7JLK,crossover,0.0,1.0,0.0,4,0,4,9,4,7,5
X5J5XVRYSH,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,18,3,7,6
JT6MWWQD5P,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,14,3,7,6
1E038SEAB0,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,16,3,7,8
1MINUDGV8N,mutation,0.036375888340568485,1.0,0.1428571428571429,3,0,3,12,3,7,5
SNO7LHXENI,crossover,0.07417990022744858,1.0,0.25,4,0,4,16,4,7,6
L34Z0RP1NP,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,12,3,7,5
55RZURU0DY,mutation,0.06458565330651467,1.0,0.0,3,1,4,12,3,7,3
4UECO25C12,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,11,3,7,2
POU2SEKEN0,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,15,3,7,3
U2PWC9V9BH,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,12,3,7,3
K4M9VFUSAW,mutation,0.06458565330651467,1.0,0.0,2,0,3,12,2,7,3
W2LD14FLFA,crossover,0.06458565330651467,1.0,0.0,2,0,3,11,2,7,3
9ZVAIWU1EW,mutation,0.06458565330651467,1.0,0.0,3,1,4,19,3,8,2
WXAZXQ9UNQ,crossover,0.06458565330651467,1.0,0.0,2,0,3,18,2,7,2
AT5ATG3MNK,mutation,0.06458565330651467,1.0,0.0,3,1,3,10,3,7,2
TLHXV8LCLE,mutation,0.1339745962155613,1.0,1.0,3,0,3,10,3,6,2
1E6SHMVR4U,crossover,0.1339745962155613,1.0,1.0,3,0,4,16,3,6,5
0N0363H3ZB,crossover,0.17084380241115005,0.4,0.25,2,0,4,15,2,6,4
9UWZ2J2KKM,mutation,0.17084380241115005,0.4,0.25,2,1,4,26,2,5,4
VA1B7IA0NA,crossover,0.17084380241115005,0.4,0.25,2,0,4,23,2,4,4
QE8Q2MT0HZ,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,18,3,7,9
BCDYVQPD9Y,crossover,0.06458565330651467,1.0,0.0,2,0,3,16,2,7,8
01NZVZFZM4,mutation,0.09861218113400261,1.0,0.1428571428571429,3,0,4,7,3,5,8
4XTZ9OEPJE,crossover,0.09861218113400261,1.0,0.1428571428571429,3,0,3,8,3,3,6
8WI50LH2IY,mutation,0.06458565330651467,1.0,0.0,4,1,4,9,4,6,5
CO6L929Z83,crossover,0.09861218113400261,1.0,0.1428571428571429,4,0,3,9,4,4,4
DT53Q7Y55T,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,4,17,3,7,4
QABC3ZMEF6,crossover,0.1339745962155613,1.0,1.0,3,0,3,10,3,6,3
QOV4H1WGR0,crossover,0.17084380241115005,0.4,0.25,2,1,4,20,2,5,3
3SNFH8R2UT,mutation,0.17084380241115005,0.4,0.25,2,0,3,17,2,5,2
S4JYGM015B,mutation,0.06458565330651467,1.0,0.0,3,1,4,11,3,7,3
L7XCKD8WJE,crossover,0.1339745962155613,1.0,1.0,3,1,4,10,3,6,3
8O9AUAQWSQ,mutation,0.036375888340568485,1.0,0.1428571428571429,3,0,3,13,3,7,4
2WYIKWZOMT,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,12,3,7,3
QV77KEDQMD,crossover,0.06458565330651467,1.0,0.0,2,0,3,17,2,8,4
BD51QU9ON1,crossover,0.06458565330651467,1.0,0.0,2,0,3,14,2,7,3
8XFL983ZFX,mutation,0.09861218113400261,1.0,0.1428571428571429,3,0,4,9,3,5,7
M7SUZ9MY0V,crossover,0.09861218113400261,1.0,0.1428571428571429,3,0,4,8,3,3,7
CDMO2I9NXS,crossover,0.06458565330651467,1.0,0.0,3,0,4,13,3,8,6
VOZY9QZ8VT,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,10,3,7,6
U2W41M5XWD,crossover,0.0,1.0,0.0,4,0,4,8,4,7,5
7V4XG3BAXT,crossover,0.036375888340568485,1.0,0.1428571428571429,3,0,3,5,3,7,5
XEI1BT1S4O,mutation,0.17084380241115005,0.4,0.25,3,1,3,14,3,4,3
