id,creation_mode,error,dem_fp,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
M8W3D6NOS5,inicialization,0.2196253580413523,0.028112104539202203,1.0,31,20,-1,0.1,100,1.0
NV2EQMKF28,inicialization,0.2650863714506999,0.015817022571989088,1.0,31,20,-1,0.01,100,1.0
XM4UPZ1NE1,inicialization,0.22342762628662993,0.025740185356393892,0.4677158169767991,15,27,13,0.07242098947100573,179,0.3405867014466124
YO1EZ0A3N8,inicialization,0.2171325826950018,0.03498968363136176,0.09469985474284126,50,16,8,0.059792418906375655,173,0.9870600717598501
1LREJZX4K5,inicialization,0.21514070307457323,0.033965093467427335,0.8438550373606448,33,35,5,0.11080937407804087,181,0.9583134835634768
ECW82H3ILM,inicialization,0.22449798230846196,0.027505031343721113,0.7382166380652752,56,19,17,0.03648770552450384,194,0.8960274955685646
VYED99W3DM,inicialization,0.2645228578944233,0.023329861659187767,0.2786705097486406,51,5,18,0.05750346182706046,81,0.2009733779128715
UPGRLAAZ3C,inicialization,0.2191811368697265,0.025834963469907775,0.8042686532175227,16,12,13,0.11494404608527674,130,0.4009194032599732
ISWXZZDO7E,inicialization,0.3104858768743678,0.01340669887478296,0.21614750585053966,42,8,4,0.014518545232734454,179,0.282160915501652
X69NI389UT,inicialization,0.2513115961410508,0.025417446501454437,0.6759032480502315,46,11,9,0.09643131498315065,95,0.13645526559255727
DV22DR9NC3,inicialization,0.24326646381568195,0.022410267323607007,0.9747678263750723,39,34,2,0.1862166602603627,150,0.7930391002804649
J5DCRHF2V7,inicialization,0.2587903199501814,0.016936390849437398,0.7300337707442038,11,29,9,0.06038414181183934,86,0.29509914055334974
8GOMKLM2IC,inicialization,0.2172555356560235,0.02741025323020723,0.985636302748918,56,38,16,0.13984750648683092,182,0.19451227212996614
7AV6I4IHHC,inicialization,0.24565177745161726,0.019336496831803725,0.44835200616257354,36,35,12,0.02734839073433456,91,0.7784992644229584
DHS7DGTSPK,inicialization,0.21838228743304877,0.031091096917491602,0.7232372524433984,25,23,5,0.17211989586644705,188,0.779601374548525
VCPTYP4PM0,inicialization,0.21821886772535481,0.021073156019572915,0.15117847620165592,12,19,18,0.1779403410256925,164,0.7805061252190433
MVCOT7QCYI,inicialization,0.2177505371678108,0.03295072101833269,0.25445332074656835,51,29,18,0.12717936955518794,166,0.91093033585411
3QD3TFLBX4,inicialization,0.5236931136514195,1.0,0.8544689265679719,5,38,3,0.020772789150763905,50,0.21292078822847316
ZGL02RXNSZ,inicialization,0.22485396213795583,0.024298078224006134,0.138091145141913,12,27,7,0.05392784528352763,182,0.573014701471321
D7GA5S3XSI,inicialization,0.21771121016584882,0.029648989785103837,0.36495055961438383,31,31,15,0.15112390512342508,108,0.659240088502858
4G8D3RWYKE,inicialization,0.2143330959698857,0.02676477552032832,0.5547450541273692,16,31,19,0.11236835715830495,165,0.4755128746172955
0LDXGAKQK7,inicialization,0.21369062571355613,0.031214061830563508,0.12624404998423833,45,22,12,0.13862527486819845,87,0.6068709765237029
FMID9M4HJ4,inicialization,0.22086166875480606,0.028747364534241322,0.49985183008327483,20,7,5,0.09067908653157335,169,0.25418609025046746
EQLAAUCJRO,inicialization,0.21641583508110107,0.029677176584661867,0.9349633670355659,40,40,17,0.08779337731564812,146,0.278558190081021
JVWYUOTSS7,inicialization,0.23427971540825532,0.02903169887478296,0.9383469478953523,61,8,18,0.14562938627459016,52,0.1973971953614871
1LQN25NIGF,inicialization,0.4066212959922466,0.008814012221796287,0.4149191521154034,43,35,17,0.012207626310042376,76,0.21556899362243537
ZDWFLN9TAL,inicialization,0.21824397816541197,0.02763821397163281,0.9106786180530253,25,40,11,0.16118559721927825,146,0.8503138320670861
74JOXLA53P,inicialization,0.2181061617664659,0.027020923061311923,0.3094006767797799,28,5,13,0.0774019234125157,187,0.7261969095056034
W5CEXWUEDF,inicialization,0.22542105210305186,0.02352963560105531,0.7920944453650064,30,13,7,0.05133718463117733,176,0.2823340737402248
I76SRGJWBL,inicialization,0.23210578507361634,0.025161298960470833,0.6109169454477545,42,25,8,0.0740498162948342,72,0.7044561695885242
7O1DBTXMPV,inicialization,0.2732060349130633,0.011434327575709745,0.7820715693445376,6,28,7,0.06845171706635768,91,0.41192192521892323
OPC7ASZF3V,inicialization,0.21805342133271655,0.026413849865830834,0.7586556978384803,26,36,9,0.19036656702870292,159,0.1627514706382348
GQT94E0MJB,inicialization,0.22145162922173378,0.025996332897377496,0.22533591455689683,12,5,15,0.18325605437092587,139,0.27036928813329
Y3EKSVKFMR,inicialization,0.21621488190989768,0.03608086510925203,0.04094730939133462,58,29,8,0.12537349722777985,148,0.46488191432571724
K07C8NIM4F,inicialization,0.2288649293146806,0.023434857487541434,0.7297126605363046,11,9,16,0.11000183624376873,100,0.550206522466052
FG6B0J83KQ,inicialization,0.224818337900334,0.026603406092858592,0.5261216280186685,35,29,5,0.13725652900090152,77,0.27970801541713486
OD7AITNVP4,inicialization,0.26093847806284154,0.01623453954044242,0.08268418999562599,5,10,15,0.057226837455686706,177,0.5026838086681342
XEPUSLD2LR,inicialization,0.282567979131062,0.010343146097819472,0.6005407204798883,50,34,4,0.022987870826526254,181,0.9735053313108145
ZSDDI9H51R,inicialization,0.2179501990196946,0.02846303019369969,0.7659427807270907,9,21,15,0.14640683431235554,172,0.6200981218002902
PUJL21QC9O,inicialization,0.21678703295012147,0.03165976559857488,0.19580295534015446,49,9,10,0.11558899431901934,132,0.20088372700298296
3RWRQ0P0VN,inicialization,0.23690902752794185,0.022410267323607007,0.5963743305625324,22,3,11,0.07068629007078124,65,0.7797602343196761
765LVQP7CB,inicialization,0.22052038602476487,0.032305243308453795,0.9477980273879544,44,37,9,0.14509584859512928,88,0.9328014698806225
L3ARI8ZS8E,inicialization,0.21517906128765907,0.03400349798182515,0.5496449999947743,51,29,12,0.1958400942143466,51,0.896638752122931
FPBXQQ5EO5,inicialization,0.2139142285368344,0.03300709461744876,0.7833016549369805,58,18,5,0.17855461964256047,132,0.9857434918539185
9VL05HPXY6,inicialization,0.21971481464071296,0.029999915439601323,0.46521515256785084,54,3,9,0.0704159944455294,180,0.7283783189419876
5LUIHTJ999,inicialization,0.2103625479628497,0.033936906667869304,0.5456804366321963,47,20,6,0.17828093721488028,177,0.5895101863126156
4DOXUO3QRU,inicialization,0.21774866440859875,0.03813004543712088,0.4523348985234703,45,39,16,0.16639404826687068,128,0.5791402266219062
YJ1SXK6Z5U,inicialization,0.2191150976798204,0.030161284867071057,0.4840917327130878,62,31,14,0.11092793246126731,62,0.7328129031145042
AEGO4OUMDA,inicialization,0.21716027817616623,0.023852374455994772,0.7426211073043139,15,11,7,0.10420757567812147,182,0.32857883047673453
2EXCI8C5JE,inicialization,0.2334348395236513,0.02375759634248089,0.8379226134259271,31,28,17,0.1284085866878507,57,0.28545903559957136
KHK8T69MS0,inicialization,0.21744187333919607,0.030512210521568543,0.6370467337525554,12,18,12,0.19015384931624438,145,0.5309343718811004
XUT9KRWR57,inicialization,0.24300448399227126,0.02688774043340023,0.26072287933684235,38,38,11,0.04668527006545566,58,0.6667373475683872
2FAX2VZORB,inicialization,0.23476112911192737,0.022733006178546462,0.2862604426401033,3,39,5,0.19507240461314987,188,0.8174214053398589
O6ES6W4MKL,inicialization,0.2560709645160113,0.022722788463706678,0.12896867132056478,24,4,8,0.07875469217082223,69,0.2294446164776891
IO6L01AH4B,inicialization,0.21851977760654584,0.02053267413804767,0.8553715890896072,60,30,16,0.11078562761680028,135,0.4831326261586758
N32GGL2XCL,inicialization,0.22422713899211733,0.02119612093264483,0.6123452285284211,8,17,16,0.16214364525494743,173,0.1943688684884367
CBFI0ZEOFH,inicialization,0.23319140670156846,0.026280667237919136,0.34917712064815754,17,25,4,0.07357330884471652,157,0.4091668722360653
0LFPC6B6L1,inicialization,0.22503201337215528,0.030673579949038264,0.6480043456821035,60,26,16,0.05705704603111208,93,0.9819711023751031
GOGZYAWQPI,inicialization,0.22284116110947294,0.025550629129366134,0.19619067824962144,35,19,11,0.13542066943884495,66,0.7063638354187198
OYF4VW2QZ6,inicialization,0.26038802830541974,0.01690820404987936,0.2916371922517309,40,31,3,0.15710927652926904,63,0.8107434650553295
JPAUSQ8OWM,inicialization,0.219922585012571,0.030834949376508,0.37993438948921465,49,14,11,0.12162698865786176,103,0.8074897178486068
91OUUBTT3I,inicialization,0.22552545929001022,0.030284249780142963,0.12038564175030375,25,17,12,0.06641019976309893,120,0.8974006200771809
HF7EBDXWPX,inicialization,0.22540960977978686,0.025484037815410282,0.7709696294203225,13,22,17,0.13823663983833237,109,0.2700493924184969
NGCQVPHPP7,inicialization,0.24556914861395396,0.021290899046158704,0.304225270591867,45,33,17,0.14547736104273076,60,0.14788124728298302
S9VZD3K0V6,inicialization,0.22457987720471762,0.033965093467427335,0.9364714215859993,19,25,14,0.09494937417699004,127,0.9558632092696503
VJAGO2S571,inicialization,0.21607975819230207,0.032627982163393236,0.5193123917774232,46,16,7,0.16120714418470186,168,0.8123060393777886
PXPZ4C5PLU,inicialization,0.23955215039761057,0.021964563555595645,0.5298877241582161,48,16,3,0.19011480370317219,75,0.6054210087278447
QZDFRJHM4P,inicialization,0.24335774739197047,0.02231548921009313,0.07248676715348024,40,25,14,0.16728034843330403,60,0.13541765380389084
2675VF18E5,inicialization,0.21712378771339214,0.02913669470313663,0.27776933220925415,57,15,5,0.1952827563488357,159,0.4574330376178616
D2LM9AN33R,inicialization,0.2494252574368201,0.021992750355153676,0.6637757574108893,52,37,9,0.012863689696680603,165,0.7880806499774325
FWE0XU9JK6,inicialization,0.2182089362067231,0.028273473966671923,0.9722457492087391,45,17,12,0.06393004934414037,190,0.7008038380461682
8AHWD1TJOQ,inicialization,0.22228489974113075,0.02242048503844679,0.4747356305673076,54,25,8,0.15839496369475686,167,0.50925995661544
4KSHFYDXGC,inicialization,0.21644621620733162,0.034326236836764605,0.5469484117269059,40,24,9,0.1901461632585179,165,0.46251174675678575
8R4IPR4O5R,inicialization,0.22254300677724814,0.02676477552032832,0.5815500470858997,59,24,15,0.04766209822508579,112,0.5967209884781833
8C7VNRG9OX,inicialization,0.24505319009246762,0.01754346404491848,0.8985940090543363,39,4,16,0.042988017641294854,53,0.6588328869687107
YRBYMPGT3V,inicialization,0.21874870039254934,0.02650862797934471,0.2244796028835242,17,15,9,0.10018440711742065,160,0.4105725657848188
C59LZH4VG3,inicialization,0.24496771635204007,0.022182306582181434,0.6165794158422001,62,37,9,0.049117317949199706,64,0.44320472542062184
UHZS0PHPUJ,inicialization,0.24291575852035485,0.02208752846866755,0.6001392386317205,60,29,7,0.04345069600432405,113,0.3940258530167847
OSBTP7XG6L,inicialization,0.21864201140443673,0.028557808307213564,0.6911401999071864,37,12,12,0.07189018118253106,191,0.6767755143616795
ZGEOLC579S,inicialization,0.2830199048583444,0.01686979953548154,0.2377267487036554,7,33,9,0.032829382234171686,135,0.2694040634578031
TWH65DV71D,inicialization,0.2191923941070003,0.026869771348681987,0.4157504753531075,30,9,16,0.14507698453552306,199,0.7171049727773038
