id,creation_mode,error,dem_fp,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
BMOZVAIBKG,inicialization,0.22366057125647254,0.02869197666048976,1.0,31,20,-1,0.1,100,1.0
JHEVXDMQZU,inicialization,0.2601824910669469,0.020383784859947622,1.0,31,20,-1,0.01,100,1.0
KT0C328PQL,inicialization,0.31452911951425844,0.02308681868998576,0.8617549357457497,4,3,15,0.03354921949902802,74,0.6053906230130364
VEW8MGC394,inicialization,0.24652920715440063,0.02727537252860009,0.6327074179957147,57,40,5,0.10930958803516937,56,0.4406794170173671
J3KN2FDJEA,inicialization,0.22051264968436457,0.03025406986538432,0.12938922504737016,44,7,10,0.11665688944115139,113,0.8472123793711915
48M1TBB577,inicialization,0.33593895897791326,0.022543148996125396,0.713946444792206,3,32,6,0.014331295027037321,167,0.8925939605172176
HFMPFTGKEA,inicialization,0.23350761366727912,0.03896809960641377,0.41757964111559576,51,40,8,0.11286704364263439,86,0.2674603752042566
OPFMDY6O67,inicialization,0.26888450445681666,0.03160941544021931,0.9140562283825168,31,29,2,0.1747403406208439,94,0.17838747393913856
O9EC5DZNY2,inicialization,0.2175665222148645,0.03314087936658652,0.27572768235212153,56,7,8,0.15746262945165634,187,0.5132707549843711
AL9R1BQW73,inicialization,0.2330686232780076,0.03271972678683553,0.037422475930268706,13,8,15,0.06842361039366607,153,0.7076411841651505
AE2VHP85GX,inicialization,0.21725151339529125,0.03105808842672711,0.24083938309865038,44,35,6,0.1533757522059567,171,0.5246070138868901
16NOJXKGUJ,inicialization,0.22004354557665473,0.03444262370399864,0.6604135925383301,27,24,16,0.16450929924468025,193,0.8829282674286133
G7XJJPCVIN,inicialization,0.584560377228061,1.0,0.715710019465528,2,13,12,0.0447177752848181,60,0.9062796266018842
SLAS8CJ0H8,inicialization,0.21954788600638775,0.02956491109851908,0.24470834500889183,27,30,13,0.16795229230661626,193,0.5669767750863759
H7U4Q1U4D2,inicialization,0.22092086513541198,0.033332312357382425,0.7713014876097815,39,24,14,0.08568320639549501,151,0.5523978935801257
KYGVQ8ICTA,inicialization,0.23472185741671248,0.025261497465427205,0.4903562743522255,35,9,6,0.03237283594694101,181,0.8907783497122648
CRH5FFV0JN,inicialization,0.24501462514772232,0.027083939537804184,0.32654380321392174,36,35,8,0.03293312382515836,89,0.8278408654411579
FH2OFZ67CG,inicialization,0.22251963723428858,0.03510881051196839,0.28410827326198995,13,24,5,0.1712010627745404,105,0.9552235976879122
HNOBNCLZ9U,inicialization,0.2579564720871489,0.035989402269629545,0.7262630436716923,16,25,18,0.07104416588148271,85,0.2671142411877021
