id,creation_mode,error,dem_fp,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
RO329DGO65,inicialization,0.21249862734244485,0.025221270930890313,1.0,31,20,-1,0.1,100,1.0
T7FP26R1KT,inicialization,0.2512344714417687,0.0065491658833753685,1.0,31,20,-1,0.01,100,1.0
97UE7LAVMI,inicialization,0.2168137892521026,0.020028864815972623,0.5984558219029408,13,17,13,0.17384858477608275,72,0.4267551119476781
LCBZY4HRN3,inicialization,0.23902101368292172,0.022119650049549376,0.5261033145718765,41,32,13,0.019307885920080755,120,0.6274789518711562
4BD0E4TMXZ,inicialization,0.2193001641569825,0.022949726167033148,0.22748168268562974,17,3,10,0.1075821049463252,97,0.9275489760949757
8HVHFPCQWJ,inicialization,0.21293399797735435,0.01860972528804563,0.8541233789567041,58,12,5,0.14766485261581488,114,0.8486131225703504
25OGQ1EDEC,inicialization,0.22056330401329627,0.0225949412850514,0.20066309529269533,10,19,4,0.17008914666958283,146,0.108985692710226
ZJHJKHKH4Y,inicialization,0.23986233951927838,0.018844003816507103,0.6648727180309956,12,15,18,0.1379619188457905,84,0.15029890291029271
UDJ0N8BORO,inicialization,0.21779042582298835,0.03960689409759881,0.26772619009090304,57,12,14,0.14244816213450132,157,0.29758944143862914
5EDIXPYHGI,inicialization,0.2111265759949561,0.030293170692287742,0.10105298094057291,59,29,6,0.17738607244876087,137,0.7536434040450571
76KGV34BDU,inicialization,0.21428999623136968,0.02409666310818493,0.5003613802884045,57,2,18,0.07659218021633772,127,0.6642208370066106
UCTABKPMV7,inicialization,0.21137135725971246,0.029719702221711844,0.715017596980637,8,24,15,0.16940584647374388,197,0.5115642783736368
DB0DP6TTCW,inicialization,0.2682563703569073,0.010036761526432715,0.8458035414822435,26,34,18,0.021059955771438862,107,0.34698419897695926
KELMFR1B98,inicialization,0.21147454312157,0.025734486224706074,0.6784143272618731,44,33,7,0.12476356962800872,163,0.4877220614189268
U17T0Y6CNU,inicialization,0.21437351872372357,0.02368162504944305,0.7481835639446205,51,33,7,0.16865122266853327,61,0.8869826959405035
BRQ815R7QH,inicialization,0.20614521486370352,0.02984020857523212,0.747100099425183,19,9,14,0.15912655839490625,198,0.9457314318884252
ZFR8RMNHAF,inicialization,0.3284263440269729,0.014361167465552906,0.3554632696874168,4,32,19,0.01083701492880114,66,0.9711068486913893
8OUEZMY399,inicialization,0.21051597076892925,0.021885371521087903,0.08745884977546903,57,19,5,0.16703898421901472,120,0.8281407000109299
IBP6HKW1UL,inicialization,0.22191807352224246,0.01987043440413861,0.3051306914802433,43,17,6,0.051686092063967744,164,0.42664677414292784
B0J14QLI0M,inicialization,0.2251528369009893,0.022534688108291262,0.05828593830263773,19,37,8,0.05507964332456363,103,0.9818344044510945
RCDVVQYPEC,inicialization,0.21361564534575617,0.02987813263354585,0.4977248703449174,30,35,17,0.1986680560097193,84,0.39602454561488587
97SVINZYYV,inicialization,0.21788811926503382,0.026383802811909433,0.17502659503017926,60,39,13,0.11860619556977062,75,0.36770387436733076
2W7P2TD1JV,inicialization,0.22139798275753786,0.021923295579401633,0.9590920440227029,25,23,17,0.12501041303348517,92,0.23526836993527162
WF2XBR9UGV,inicialization,0.21880262942590978,0.022693118520125267,0.4478504042187256,13,6,7,0.11854083902972867,121,0.3790294003518835
C91I7PANV9,inicialization,0.25108082704176604,0.01201377458506827,0.20166104907531301,61,25,3,0.09418752957522232,101,0.8190865237784615
CON2JJ9RJF,inicialization,0.21423598974648783,0.022141979167995783,0.5535714221328027,27,10,16,0.07558375731778501,135,0.9403162713284687
VU0IA1FHGK,inicialization,0.31457994892890706,0.007945976292855959,0.4910991404235381,5,5,19,0.023858840536770547,73,0.750323957011795
S37RI8FK3Q,inicialization,0.22521494459845448,0.018549472111285492,0.1557556120462178,55,8,6,0.18831124264056115,88,0.11400819359142873
I6IPWGQFNI,inicialization,0.22527197514163688,0.022436510873217387,0.2770089239889333,48,8,19,0.057571854656926415,71,0.5633669009106208
0XFCZR1E8F,inicialization,0.28895309684321724,0.009130837292321475,0.782176685036101,2,39,18,0.09474715204432155,141,0.9931436986217719
4J6MSJAPRZ,inicialization,0.22001476369880568,0.02172694110925389,0.24266674513086217,13,29,13,0.17668032297486824,69,0.7816237202343898
WSV9LWKCU3,inicialization,0.2167744102640402,0.018745826581433235,0.1323838123241462,16,27,14,0.11967201418055629,148,0.20848775758970467
CX3L3CQR16,inicialization,0.20709537670219513,0.03131960127991925,0.6463891684463516,32,30,13,0.14518299071666674,154,0.677566609388422
RFPHZNL36Y,inicialization,0.2403163672108063,0.009764558939657511,0.13835929567489014,47,33,2,0.18659058473607618,116,0.9272668639088564
084QDUOQTD,inicialization,0.21378515259294906,0.024134587166498668,0.2905627276877849,32,19,4,0.17864930610592258,132,0.71528634641783
M5NITCP0IJ,inicialization,0.2544850420185637,0.021010637166711324,0.038863777351060724,27,15,16,0.06288390742627636,56,0.29890017840998917
DL4ZTSTBYB,inicialization,0.21218722710105542,0.02384005546127705,0.6506230612977567,34,9,14,0.07765494021685353,124,0.9142148780439048
ZX5BQK413Y,inicialization,0.20719607471083656,0.024964663283982433,0.11448719517783146,11,26,12,0.1694194861548241,192,0.5755323552868505
7UITGED4F4,inicialization,0.21662128857245688,0.025772410283019805,0.040634357665912946,54,15,12,0.11622420437745712,154,0.14499841848441417
2V0B0IYA5M,inicialization,0.2132050106690122,0.022655194461811537,0.16439396872556278,49,10,10,0.1101888074225695,73,0.7504305037449278
F0O4KK0TU5,inicialization,0.21342800597491474,0.02377980228451692,0.6422932643481928,24,10,18,0.1153358917913503,142,0.9626293151688443
O1YU4N5TQN,inicialization,0.24584789141280927,0.020874535873323725,0.14329553254520555,57,7,8,0.0396406534244944,195,0.14288011864066555
HIZ54PBI1N,inicialization,0.22980417477035864,0.017560965581967708,0.6584829642970539,36,2,17,0.04743537655055028,64,0.6071309050841154
A2AZSIH8BH,inicialization,0.22182933748654565,0.026165119223315287,0.18213337772415183,36,25,10,0.123936584822008,88,0.18398013201781538
UEQLB94KJS,inicialization,0.21704256168635971,0.022791295755199142,0.4492380455524949,20,23,16,0.08799870502709581,127,0.3274857534866118
ESC31TX16U,inicialization,0.2224897124419205,0.022043801932921908,0.6229525204057774,8,4,6,0.13753922966286555,195,0.6121482509912928
KAI0TLOLJ7,inicialization,0.22221799564143752,0.020285472462880504,0.1843325977597161,21,16,8,0.11238378853843099,75,0.6341445186589244
UW9ZS5VIZL,inicialization,0.22089929552603105,0.01839104169945148,0.0503523735644531,40,37,13,0.06243502231218992,79,0.4965113917147904
1EO52I5J1J,inicialization,0.21838469873105915,0.02008911799273276,0.24477223410222038,16,38,10,0.05762310366755325,172,0.7624586972273546
PFOHQUPEAV,inicialization,0.5362901836589152,1.0,0.48984689842218876,7,6,12,0.01847745850915506,176,0.10367122386406286
TZNKLTPMMW,inicialization,0.24211018449077404,0.019138535521728714,0.7771466192102593,49,23,8,0.10840191764093117,57,0.2410363164780167
BSG5Q714ZG,inicialization,0.25811476854314097,0.011342128879418503,0.04206440212542073,24,18,16,0.012827552578865278,103,0.5331984231084571
G50NZ0EE25,inicialization,0.2348659955026965,0.018527142992839085,0.6620840689682517,41,14,3,0.0636495187023545,193,0.5155055576140708
64LOX6ZSOS,inicialization,0.22565351017790514,0.01624000328911459,0.00044425295426031575,10,16,5,0.09779490099249473,137,0.9903327834955726
S5EGJQLM02,inicialization,0.23563253807824946,0.019160864640175114,0.7159403491686657,56,14,11,0.015804224225808308,139,0.9416632962311948
PCAK6A2YED,inicialization,0.21261418407830057,0.025712157106259667,0.23187984377763526,19,10,13,0.19257217907930063,98,0.18479540305324615
2BVPNAN48V,inicialization,0.29737864866478936,0.008950077762041066,0.050545878002033695,23,22,4,0.015020449184157255,170,0.3878294877873012
1OU2ZCA7YA,inicialization,0.21360859878960703,0.019379548228769264,0.216691292749277,21,27,10,0.14314042281715034,140,0.3101041779810483
X3ZVSTD5F1,inicialization,0.2137061435743376,0.03013474028045373,0.08641867913365231,56,13,15,0.1335955451968883,115,0.7844512502060129
D9ATYKNBJS,inicialization,0.21550268623563884,0.02141008028558588,0.17204468425123198,48,30,8,0.05707095581544751,170,0.32759705237827974
QX329ASONJ,inicialization,0.21965738212848318,0.0256139798711858,0.06494148840375591,22,17,5,0.1773312090305255,100,0.32972730936123895
V0YJHF0P2W,inicialization,0.22527197514163688,0.022436510873217387,0.15099997416539668,10,6,17,0.07397095391304354,168,0.6937897199086027
BM48Q8GCMP,inicialization,0.22300612353655758,0.017364611111819972,0.5848583715774164,6,38,5,0.16661544719705024,131,0.19840278469571987
FVAV1ZQTTA,inicialization,0.2374509060387192,0.016217674170668182,0.32238649802846997,59,39,3,0.06987565493505485,166,0.8472987458389494
51ECFTGDEF,inicialization,0.2181656053613512,0.021568510697419892,0.85305677176532,46,20,11,0.06115564096977518,134,0.46502646981077167
TLG09JCTEU,inicialization,0.24635999123668084,0.014579851054147053,0.6569033319278802,27,21,10,0.018967013285330275,88,0.7588999398112547
T6B1AQL2NO,inicialization,0.2163952444437911,0.024647802460314422,0.18001139540740774,23,15,8,0.16357219194758704,62,0.9764389063465105
AYWM32H141,inicialization,0.21954610763997084,0.02012704205104649,0.30703365890160417,35,6,12,0.05494850866632923,187,0.3732638352112624
EULXWIRGK9,inicialization,0.26417308660022154,0.01552369934657202,0.497528260708636,26,34,9,0.03914922506049588,84,0.2876675478424864
C6AOF1Q8BR,inicialization,0.21147454312157,0.022458839991663794,0.6064876363940694,42,32,15,0.12355470115119495,75,0.7714918659626901
9G5S6YF6A3,inicialization,0.2548694016511567,0.01959149763878433,0.4601334063094733,26,18,6,0.11355436428860177,68,0.15902536028973335
AHIKP8JIZQ,inicialization,0.217570939737863,0.023364764225775034,0.17605386522186894,34,23,17,0.03863748514972396,168,0.6601342995199999
02UJL4GNNT,inicialization,0.22093513942975573,0.022949726167033148,0.26687142051171475,28,5,9,0.034938419377116975,164,0.8507302099244926
60ORV1UIOI,inicialization,0.2197857739234813,0.023877979519590788,0.450357864358615,36,37,8,0.09849355243667296,116,0.30103178554124743
JXUIEFSUOV,inicialization,0.20706328477317515,0.024156916284945068,0.44569520427163056,40,12,12,0.1731981769419439,158,0.6339427085899645
T5SZPTFIMS,inicialization,0.21799915783073598,0.023659295930996645,0.4800000056760262,29,10,9,0.0430829788100653,150,0.4644846201685968
TF367Z67LB,inicialization,0.20997016124108214,0.03327428522010839,0.16208032765120106,43,38,10,0.19819081886801682,197,0.5315278087662307
NA198CH70O,inicialization,0.2121764913570493,0.02316840975562729,0.7543633412429154,17,17,18,0.08878271456078714,190,0.9645632018460409
1COMSBTI99,inicialization,0.20758215628215726,0.034912108336629534,0.3658966494619055,30,25,15,0.18940418378571786,154,0.7932193672465996
FOULXJWUUD,inicialization,0.2291695041712306,0.014481673819073178,0.6624863662944471,38,38,4,0.08015743557749962,129,0.637042124864539
QT7ATGQQKA,inicialization,0.24330212986832989,0.013613673643275676,0.44152792557778886,25,21,12,0.03102398968774081,93,0.8640844368949971
AEXMGDKQ4O,inicialization,0.23790694133178858,0.01679114264124408,0.301209660644565,14,17,14,0.1605189643935123,51,0.23820011657650386
GKGDO5T491,inicialization,0.2190204077444381,0.02776501828152269,0.7720278992930949,49,28,8,0.18849759757002899,55,0.3648185527628679
477C0IEJ0L,inicialization,0.2766757064860623,0.024346536576513735,0.6757644481431802,49,37,15,0.1384511442786948,50,0.17814920211982876
ZD8MTWMVUM,inicialization,0.212787180504592,0.037221577158800444,0.17515253881613213,52,20,9,0.1355786108606419,166,0.9600641082376966
