id,seed,creation_mode,error_val,dem_fpr_val,error_tst,dem_fpr_tst,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
SXXMG94PGA,100,inicialization,0.2106038009734553,0.0159522863044124,0.216238097275124,0.0290760104749201,0.6445008103712203,51,13,16,0.1113425004957141,177,0.5641828529471113
HF3QDNVOTN,100,inicialization,0.2670944660391878,0.0010775472647465,0.2718994413424126,0.0094913667568129,1.0,31,20,-1,0.01,100,1.0
9O907WF8RP,100,inicialization,0.7089013825899245,1.0,0.7188798911476663,1.0,0.5623092233617313,30,21,11,0.0306261118665736,75,0.1040965663317768
FUCKMT5D4L,100,inicialization,0.559096296751477,1.0,0.5393490540550361,1.0,0.5071837239554284,36,26,4,0.0287632800552023,53,0.140335892509863
FLE1BO5S9S,100,mutation,0.2217701769623673,0.0293682883503971,0.2229383909067005,0.0336167231610763,0.4377158746027357,41,35,14,0.1794788337602919,175,0.8572823735114297
25HDLIHS8D,100,mutation,0.4796500032429696,0.0038876487578149,0.467389411883125,0.0043885142990002,0.6548286966648504,38,22,7,0.0254271425986474,73,0.161702293089493
43D0VLB7TZ,100,mutation,0.5056007859168681,0.0015390057515518,0.4893177400264862,0.0048168112678813,0.6261664153042366,39,15,7,0.0286071347937446,62,0.1479542537014994
9CNJA4J247,100,inicialization,0.3702074420384282,0.0025762448954629,0.3749834022888781,0.0078378345305253,0.70331530228621,8,13,16,0.0186099517590078,79,0.2160596228103904
A41PGQ2V2V,100,inicialization,0.4247947364308118,0.0033122155845094,0.4270261076839391,0.0066898456907206,0.8420824438889333,35,12,4,0.0169782620039663,52,0.2514187586846482
6QB77GLCO3,100,inicialization,0.3993541842172435,0.0026297574007099,0.405346935012442,0.0141949852543472,0.98651624243568,3,10,16,0.0328194989948355,95,0.3757634563331132
RQVG204WI6,100,crossover,0.3300631082878189,0.0012714432253168,0.3439556858860338,0.0106087629559833,0.4091706584975722,10,19,8,0.0227815240627227,85,0.3018397609828747
S8ZXUKILV5,100,inicialization,0.4157026457301345,0.0027100261585804,0.4165407561735632,0.0072496910143295,0.7738113880136586,39,11,10,0.028546796223635,82,0.1693206542811294
R5IUIG8CB7,100,mutation,0.3257483324679977,0.0062564458244956,0.3298663339139965,0.0142439334793622,0.7540870636343855,44,18,11,0.0387034559324414,100,0.1281898124003332
