id,creation_mode,error,dem_fp,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
P14TI18HQS,inicialization,0.22187677252294857,0.02252036593738982,1.0,31,20,-1,0.1,100,1.0
CRUMLMJ8IP,inicialization,0.25867646091981455,0.012314201414017699,1.0,31,20,-1,0.01,100,1.0
XHEKE5MJ3R,inicialization,0.2588543115907025,0.01187626417265119,0.08838221611915897,18,19,17,0.023555116552668308,96,0.9271853965696666
TCZTKOOG2N,inicialization,0.22851396074956043,0.022553767930375397,0.797802199609972,61,28,14,0.16186263919833155,125,0.8182253173908237
62VAYC5YH6,inicialization,0.22431422346452168,0.030421792944756818,0.9365427072282757,60,3,9,0.15116859685087622,130,0.6561077479704269
QYYX6PZ10I,inicialization,0.23459178143708326,0.029293547848354955,0.40779238719032407,29,31,20,0.1376262232704103,114,0.17358509199352684
IJEJAZPTUJ,inicialization,0.237354157393461,0.02793891146616193,0.4966968602883097,4,28,18,0.11921984882963667,186,0.316038340011368
SVGIJ2J0ND,inicialization,0.22673039832499475,0.026034997865983782,0.9060696267720126,9,13,14,0.13397069011605328,118,0.7451150848187015
ALMWQUTAB3,inicialization,0.2261184614012649,0.021095214236671676,0.9349018494450522,12,8,5,0.1062738474209634,145,0.6699652673415148
ID622UXWJN,inicialization,0.22610769456777002,0.032403644528567976,0.19454153032080224,26,11,9,0.1272097580793002,190,0.13541733700331499
4NRNGQD3RR,inicialization,0.23116953253476136,0.02969437176418193,0.7627687238760804,46,20,12,0.04697992907410016,107,0.40242840759648657
CX3JTUU0R6,inicialization,0.22110234198217482,0.021496038152498655,0.37767746722144124,28,10,10,0.10111927804012116,111,0.825395015323892
UJOTTHCEH8,inicialization,0.24119400341067432,0.017547180315092135,0.9900893793057157,59,4,8,0.031760937942928336,102,0.6469455749844354
PZ2QL06CJZ,inicialization,0.21817518004279113,0.02164078012210284,0.3198023022445109,27,12,11,0.158090126276526,115,0.8635444436965095
KNZIU23Z4C,inicialization,0.2649600344736227,0.015209040806101432,0.08870940661937676,59,30,5,0.04215322314786408,93,0.3994610115369317
068SYGR4UW,inicialization,0.2380560556279181,0.028013138117240998,0.575291562113984,6,33,19,0.18104143502166495,73,0.9659058477362106
OV0IKAXF7N,inicialization,0.22876385551893674,0.024498506188647032,0.053855406854460997,12,32,17,0.0644864719096702,183,0.6794584865524002
AWLVV3AWWC,inicialization,0.2175173550884183,0.027864684815082853,0.6055642490448813,20,24,6,0.12138692028249323,116,0.6523531377703959
AYQOCJ49R1,inicialization,0.23021322129925104,0.028451075358607508,0.32119742129015816,25,25,14,0.03671047953980652,143,0.40636762273116034
V5NYQY9CMT,inicialization,0.22197774225379296,0.017910890905379576,0.36761610052240656,11,11,12,0.14174254120674845,99,0.8630077214531241
BDDLMORT25,inicialization,0.2636789838355319,0.025489431980552615,0.509364204078244,3,19,15,0.13950689497973345,145,0.17982149603653
9JYW9A120A,inicialization,0.2763036719848809,0.013049045259700492,0.9255484925773118,10,4,8,0.017315962176683977,188,0.5455708318545248
5D03O9A5JJ,inicialization,0.23090202471355614,0.02292490118577075,0.4912704637272981,32,20,17,0.06969310041740005,78,0.9425405610471936
98HH1HDJ52,inicialization,0.23554305972007228,0.023548405054834937,0.13033440755422687,25,29,9,0.05416129253962207,112,0.37219372427261377
D6XVPYMVJE,inicialization,0.6200734210233407,1.0,0.06050143142688058,2,19,3,0.010299315230878825,132,0.5336256372013386
NI0X8700FO,inicialization,0.22448333035692858,0.026651079069940055,0.12683773089566042,41,10,14,0.18402317770590793,190,0.42411675309864727
YTASKLD27F,inicialization,0.22669037633897648,0.03035498895878565,0.29253050122454416,51,8,11,0.19771606584524593,80,0.134741082820947
6IFYGZ7KIC,inicialization,0.31378973886054773,0.012833787971571194,0.7915893324106874,17,26,16,0.05638363981340237,53,0.1901136863221965
YX6V66DPKN,inicialization,0.21826986639994916,0.022887787860231212,0.8671397499818515,37,9,17,0.05276837698209709,138,0.7413977725048705
R9GZGHH8RP,inicialization,0.22247455884419798,0.02460613483271168,0.5668675254719995,47,36,12,0.044143062858628894,174,0.826450634236305
QKM6QF1IA3,inicialization,0.22506047065504198,0.027022212325335415,0.9713997432760563,39,21,15,0.09366226383595413,67,0.5340285513012717
YKXKVGWT5E,inicialization,0.22345649942491141,0.03357271428306334,0.011390606877900389,37,27,19,0.10320409344490836,71,0.4031206144294026
H3QYAVRX7D,inicialization,0.2700416943007653,0.013561209152146078,0.9020632583080977,43,4,8,0.024363863645545637,58,0.9737191778421477
ID48XTWVZE,inicialization,0.22209708701399766,0.024019744289187038,0.8072189915344595,55,19,12,0.10364062322491116,92,0.8838499803817566
0WOK19UA1A,inicialization,0.246840722780728,0.02925643452281542,0.4034075686977593,41,18,9,0.056646238341381425,191,0.16368271269536636
YRFHZ2FQ01,inicialization,0.36158548790605394,0.012288222086140027,0.18063126498301485,35,39,10,0.022447628793003483,67,0.1995090992873218
AT15X5MOP0,inicialization,0.29317176804823974,0.018100168865631205,0.2784432909477952,3,9,16,0.06896753685114178,153,0.24564949318826867
7NZX0PXX99,inicialization,0.257030256349014,0.02355211638738889,0.008935337481988381,26,20,11,0.049103083526726106,73,0.32597295076285343
RIUU223NGL,inicialization,0.2258563507964253,0.028194993412384715,0.06509063122853742,6,8,6,0.1534548861262595,158,0.334602184169928
JGS73V7EUT,inicialization,0.219709655580834,0.023399951752676798,0.8356281750617881,45,14,5,0.14165889409130772,105,0.7656795461839331
YYDD1H09WG,inicialization,0.23536810146182963,0.024023455621740988,0.03836594946845562,5,15,5,0.1853955746180435,90,0.6938079728094229
DWX79PEH63,inicialization,0.22195574962428177,0.026506337100335876,0.6446015709976677,48,29,13,0.19734549254228298,83,0.8653661527368217
B4W1IAIR4F,inicialization,0.26330382812431263,0.016964501104121434,0.6437044630647455,61,16,7,0.01239066163364072,154,0.5949615321535494
N2644SD382,inicialization,0.24353633710089684,0.025634173950156807,0.8827990640480554,52,15,5,0.1632832610638768,82,0.11772947421795615
68M512WDZJ,inicialization,0.21891699067648918,0.03126426543450425,0.44456655454473193,50,28,12,0.16015087073018472,96,0.6161689543902525
5OHETNTHZ7,inicialization,0.21507835809974007,0.025849431238286105,0.23083698135009334,20,37,9,0.14485473259380582,192,0.49839106118777743
Y4W2NDCMJE,inicialization,0.30835838133471394,0.019343465271205628,0.20621732197258025,6,11,11,0.038171545841327266,150,0.13449600240531523
RQJ1K9H3I9,inicialization,0.23666957035890912,0.018315426153760507,0.03412662113587117,12,9,12,0.07938348754731711,88,0.669582845691128
