id,creation_mode,error,dem_fp,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
4B974DQEM5,inicialization,0.22752236623469757,0.02074946142108333,1.0,31,20,-1,0.1,100,1.0
X12SO3R4IL,inicialization,0.27650329654355377,0.017186712366755508,1.0,31,20,-1,0.01,100,1.0
RX5WESWVLI,inicialization,0.29365507321987483,0.015979093438831506,0.43344181839643037,4,30,4,0.044537692070128615,162,0.49804286002405973
9TQ521PJJ5,inicialization,0.27547642917918447,0.011268833186023858,0.2038335960779949,17,14,18,0.05056945075861736,70,0.3419552150964291
IW928YN0P7,inicialization,0.2513489120929582,0.016956527084679495,0.36773535154424586,47,17,19,0.14560889554342488,74,0.13088892071083238
W87EG8457O,inicialization,0.2339623164285124,0.011902696514707954,0.5495173700914846,51,10,17,0.15219956703069135,67,0.3030857878191904
SNIBE8TRGV,inicialization,0.3078072866795002,0.012072774067339781,0.8132572357476057,2,22,6,0.06740052835603584,176,0.36159552326988176
A5NSKCUA7K,inicialization,0.22280476556245388,0.024312210475411156,0.6592870404423515,50,15,18,0.18066980340801603,68,0.9764054978243636
CR8CHM9X70,inicialization,0.2258371471600359,0.014718197205263794,0.769749246908459,23,39,16,0.097752974442129,140,0.3842201544529673
WYA0VZD6SJ,inicialization,0.2393560261655876,0.016956527084679495,0.8918904179862053,31,17,17,0.031668331986041326,180,0.34973862906543873
MVQ7CTKXJF,inicialization,0.28362255766731015,0.011240486927251887,0.5313390316843705,29,19,5,0.03777354453111336,68,0.6676035369890964
F823FFWZNN,inicialization,0.22444411886531324,0.012334720820088005,0.8990012565199302,56,3,14,0.058540645741228484,139,0.47555335769951645
DVR5CDEFZR,inicialization,0.22876930430955722,0.011272248397924095,0.9131287227209394,23,8,12,0.128645582168325,166,0.29969643431723625
6M6AILW48D,inicialization,0.25204393436916916,0.0180189995068434,0.034364977691233256,9,30,7,0.08630700159951163,143,0.14820337979403259
G5BVWYGF51,inicialization,0.2290546343892087,0.01632607896789564,0.45258355640069226,57,20,5,0.10624369825255132,123,0.5981095078517921
W65CHGP75L,inicialization,0.2359322270086992,0.015263606545731737,0.42295962428174627,47,10,7,0.12336071907874983,55,0.9801912874883284
F60W3MGW7M,inicialization,0.27342111671864067,0.019053125670235337,0.24150458278982867,3,19,5,0.0952413206215512,170,0.31651295381691413
957TNA6CHJ,inicialization,0.2508415239710694,0.013825802335731725,0.8325663018552955,22,5,6,0.05445750119471107,99,0.684094039133987
RKGP3EO69W,inicialization,0.23414952243861076,0.01371241730064384,0.24623067083261108,45,25,15,0.08670123424850625,74,0.3888223407084096
R6LWFY796E,inicialization,0.232386754309291,0.014920036228567843,0.444295007295324,49,3,19,0.17819032730483647,152,0.1573616213365785
NYR31RO85W,inicialization,0.24277041798201893,0.01925496469353937,0.9068564370017698,29,13,17,0.16204592595558087,84,0.1621605997161451
KY8OAPAAXG,inicialization,0.22669219121407325,0.01759039041336359,0.48871680056047295,13,24,9,0.14945168240363668,127,0.5357311916312563
DQXOKEPUR9,inicialization,0.3222539826835479,0.019793543610206837,0.32691382183017903,32,17,13,0.022151029445137936,191,0.15558957839580603
577U8PHCTP,inicialization,0.23467104138064399,0.016843142049591607,0.4111709459607912,6,29,7,0.10295575760296097,187,0.8636083623794298
2F4TCYCV8Q,inicialization,0.22243886746549513,0.010181429716988225,0.04775647614633749,43,7,6,0.15265430595400645,72,0.7732342811280328
AF51P6U09N,inicialization,0.23035131765891748,0.023823493652487163,0.9084432811030111,50,18,20,0.1690466563400569,72,0.7477399537008148
4793GQIVR2,inicialization,0.24789120427056133,0.00949087387076019,0.6559928384071335,61,21,15,0.035491247305276565,88,0.6658665053124232
7H0FYTFHOB,inicialization,0.24532670974900572,0.021121377997019207,0.47266238244716396,14,18,20,0.12257106111858009,158,0.10206738362137563
401NEP3Q3S,inicialization,0.22383817852263244,0.016644718238187806,0.6004477183884094,26,5,9,0.18475738557125387,200,0.7659886797858714
6JDKBJZ6D6,inicialization,0.22708278409375182,0.017877268212983542,0.6221679457192236,43,35,6,0.060997435056063115,193,0.9981957339549988
2TZM99MWNP,inicialization,0.22992795343367467,0.017965722201199692,0.1960550530019286,49,24,16,0.09485706858560533,195,0.8325072847695781
8PC7E2YN71,inicialization,0.2736852680506864,0.009689297682163985,0.47539558014867045,40,5,15,0.012644294084559693,123,0.42054687191227
GSIIHCXV9O,inicialization,0.22546717584708853,0.026497263049183144,0.0699621604211551,58,25,13,0.17567550473236038,188,0.504229687281999
55KGRV43JL,inicialization,0.22462064234117074,0.016010854909503713,0.4778396618093377,39,19,11,0.11148361798750236,143,0.18879403954783247
YCHDWPKZBY,inicialization,0.22376392783056365,0.019917174280995438,0.06876539606403265,62,5,11,0.11487488883441563,65,0.7701907667503877
9GTHLXTEVS,inicialization,0.22715480171555558,0.020636076385995447,0.4437582412786867,45,27,11,0.18163665183997996,70,0.783438233801676
0FFM3TDAOU,inicialization,0.22969559108368753,0.01451635818195976,0.7130759681238279,39,16,10,0.04399398874659602,150,0.5080838241052257
ORLO4FRJX7,inicialization,0.2627885046358778,0.014629743217047648,0.8364180623998696,24,30,11,0.0292059793937689,77,0.6452798217077651
RJZTD5X7XI,inicialization,0.2710067780808312,0.012848368689883732,0.80081451071558,16,12,4,0.08107895002429796,73,0.732448682419144
W7HFJJZ1GU,inicialization,0.29463146000856966,0.013592201841755473,0.11777142999516099,34,35,14,0.03316185090510058,168,0.14225109559708107
QB85X5W5GS,inicialization,0.23158003173654806,0.01288013016055594,0.11059388572079643,40,10,7,0.07047049624704582,181,0.20832082565886406
NZPID7W82Z,inicialization,0.22749844275027475,0.013138661701403924,0.483134664230794,28,32,14,0.12739029401160074,104,0.35333221684728955
8KR3OWQM1Y,inicialization,0.2250078348142205,0.016297732709123672,0.9096970520640616,36,10,10,0.08419857666064424,149,0.662076839676246
17HEKA7OHC,inicialization,0.2235925854693278,0.015121875251871877,0.6205368832727495,29,7,14,0.194636224760628,115,0.9298442333613094
TXEIKB4XM3,inicialization,0.23995790359175695,0.017186712366755508,0.3599320942249751,43,8,10,0.190264693143818,75,0.1641391021521394
IUGLBTK2TD,inicialization,0.24482017582756654,0.020430822150791172,0.45880536233860303,42,22,15,0.05393390990934014,118,0.2925382051236098
A3V5H2OVV0,inicialization,0.2426789748494136,0.016411117744211556,0.7937909152850495,15,30,8,0.08388857867630785,86,0.3370590600661683
O6WXAOWTGW,inicialization,0.27894080020233014,0.019885412810323227,0.5377726407763422,57,16,2,0.1272967630503442,100,0.3004879761759056
