ID,seed,repre,gmean_inv_val,fpr_diff_val,gmean_inv_test,fpr_diff_test
MJ7K0HVMPP7WUNWBHUII,105,"[1, 1435, 1446, 1454, 1464, 1480, 1485, 1501, 1504, 1512, 1515, 1790, 1809, 1886, 1891, 1915, 1975, 1980, 1987, 2012, 2038, 2060, 2075, 2081, 2088, 2119, 2129, 2169, 2172, 2193, 2209, 2234, 2244, 2260, 2276]",0.4397105855874819,0.892579650918207,0.4480354425121357,0.9381575870937573
A537CZ60RJQYK3B1FP3Z,105,"[13, 30, 44, 51, 59, 84, 98, 114, 239, 292, 315, 334, 373, 384, 393, 400, 409, 501, 529, 542, 550, 584, 612, 621, 633, 649, 666, 749, 755, 762, 788, 800, 808, 833, 853, 863, 902, 914, 945, 962, 1009, 1058, 1088, 1134, 1145, 1155, 1170, 1193, 1200, 1205, 1219, 1237, 1250, 1263, 1288, 1294, 1307, 1317, 1322, 1333, 1346, 1377, 1410, 1425, 1466, 1473, 1477, 1501, 1531, 1559, 1600, 1650, 1655, 1659, 1668, 1719, 1725, 1750, 1754, 1767, 1831, 1845, 1853, 1873, 1923, 1958, 1986, 2037, 2080, 2198, 2226, 2255]",0.4108023745995766,0.9639327935987363,0.4145559513018574,0.993394902969371
OYBFJ9C8PLKE67NCQ1OK,105,"[8, 17, 28, 259, 291, 307, 315, 324, 353, 393, 411, 473, 480, 492, 505, 529, 544, 554, 565, 578, 590, 596, 631, 649, 671, 692, 728, 734, 755, 765, 771, 788, 812, 828, 845, 853, 861, 899, 933, 942, 965, 969, 981, 985, 1000, 1030, 1069, 1086, 1123, 1127, 1146, 1152, 1182, 1283, 1327, 1342, 1347, 1385, 1415, 1425, 1433, 1796, 1809, 1886, 1889, 1917, 1932, 1995, 2026, 2030, 2047, 2050, 2061, 2071, 2078, 2106, 2109, 2112, 2139, 2143, 2158, 2172, 2190, 2238, 2267, 2281]",0.3877361121089572,0.9928140319548066,0.37810808073545155,0.9210895487491232
2DVP80UIC8E6RAWVIOVD,105,"[29, 134, 149, 174, 197, 239, 303, 347, 398, 417, 443, 483, 524, 535, 557, 587, 629, 649, 668, 711, 717, 735, 755, 758, 796, 807, 833, 840, 865, 949, 965, 969, 977, 981, 997, 1092, 1114, 1143, 1175, 1181, 1446, 1461, 1464, 1485, 1501, 1528, 1538, 1560, 1573, 1598, 1663, 1681, 1685, 1702, 1708, 1714, 1735, 1745, 1750, 1753, 1777, 1793, 1812, 1836, 1861, 1869, 1881, 1889, 1922, 1929, 1941, 1949, 1955, 1989, 2009, 2015, 2021, 2046, 2096, 2112, 2119, 2145, 2164, 2202, 2206, 2217, 2234, 2244, 2255, 2260, 2263, 2269]",0.42182787947734146,0.946135288511895,0.42743428936554384,0.9855623100303952
8KXWQXR0NDNAOOEMSFKE,105,"[31, 45, 51, 67, 81, 93, 106, 128, 135, 147, 160, 178, 216, 223, 246, 258, 268, 283, 300, 321, 362, 373, 393, 399, 409, 501, 524, 535, 542, 578, 591, 612, 617, 649, 668, 682, 695, 717, 735, 771, 778, 783, 787, 796, 828, 866, 871, 908, 932, 946, 965, 969, 977, 992, 1194, 1206, 1218, 1229, 1274, 1356, 1362, 1375, 1406, 1415, 1427, 1436, 1449, 1464, 1477, 1495, 1512, 1517, 1712, 1719, 1725, 1738, 1757, 1769, 1790, 1813, 1818, 1821, 1828, 1855, 1865, 1869, 1889, 1922, 1934, 1940, 1958, 1981, 1997, 2024, 2090, 2115, 2137, 2145, 2164, 2189]",0.4121036487477846,0.9592022459369661,0.4196265170354231,0.947276128127192
W61SHMG13C6ZBF50Q488,105,"[17, 42, 93, 106, 128, 162, 179, 207, 220, 225, 244, 252, 260, 279, 334, 357, 383, 463, 470, 477, 527, 542, 581, 584, 604, 627, 682, 717, 734, 744, 747, 783, 786, 810, 815, 845, 851, 912, 933, 937, 999, 1036, 1041, 1055, 1068, 1079, 1091, 1108, 1129, 1145, 1155, 1193, 1199, 1224, 1230, 1248, 1280, 1311, 1315, 1325, 1348, 1377, 1385, 1389, 1485, 1527, 1565, 1572, 1610, 1621, 1632, 1676, 1714, 1736, 1755, 1794, 1804, 1829, 1865, 1940, 1963, 1975, 2009, 2026, 2037, 2046, 2058, 2094, 2149, 2180, 2194, 2224, 2230, 2238]",0.4089409769696368,0.9868557741013247,0.415832703315562,0.9767944821136311
S9ZFU4IZZO66AJ4ICSN2,105,"[7, 17, 40, 65, 96, 103, 132, 179, 190, 215, 227, 239, 315, 326, 349, 356, 371, 399, 411, 505, 512, 538, 554, 558, 578, 617, 635, 648, 675, 692, 695, 721, 749, 773, 797, 826, 872, 907, 942, 962, 996, 1086, 1129, 1175, 1181, 1435, 1453, 1466, 1478, 1501, 1538, 1554, 1612, 1616, 1638, 1650, 1678, 1719, 1728, 1747, 1755, 1767, 1787, 1889, 1933, 1977, 1990, 2009, 2015, 2038, 2066, 2100, 2106, 2112, 2153, 2192, 2217, 2229, 2259, 2267, 2281]",0.4266030004380038,0.932390085596298,0.40543948037243593,0.9635842880523732
08FYVMAKPE7XTCWKN917,105,"[1, 1434, 1520, 1708, 1721, 1725, 1745, 1755, 1770, 1788, 1813, 1818, 1822, 1828, 1837, 1840, 1859, 1865, 1880, 1898, 1919, 1923, 1934, 1941, 1971, 1989, 2002, 2013, 2019, 2051, 2060, 2066, 2078, 2109, 2112, 2126, 2153, 2164, 2198, 2209, 2213, 2234, 2243, 2255, 2260, 2278]",0.4389768441377415,0.9191084935223263,0.44747872216801954,0.9415478138882394
XJPP3H77L2PRZ424PDXI,105,"[2, 405, 1435, 1446, 1458, 1522, 1726, 1747, 1768, 1790, 1807, 1886, 1894, 1903, 1925, 1932, 1958, 1980, 1989, 2015, 2038, 2066, 2094, 2128, 2194, 2206, 2215, 2234, 2243, 2255]",0.42865020827421263,0.9199498613460169,0.44577954698705513,0.9863806406359598
