ID,seed,repre,gmean_inv_val,fpr_diff_val,gmean_inv_test,fpr_diff_test
1FKR0B9UFGHK3V38CAPE,106,"[9, 36, 57, 70, 131, 149, 186, 200, 206, 212, 252, 267, 276, 287, 317, 328, 335, 355, 368, 378, 397, 420, 434, 466, 477, 490, 519, 525, 542, 566, 612, 648, 674, 779, 827, 852, 863, 878, 905, 936, 949, 958, 974, 979, 1100, 1257, 1263, 1276, 1315, 1345, 1357, 1365, 1393, 1406, 1418, 1423, 1439, 1449, 1466, 1502, 1509, 1731, 1743, 1753, 1796, 1799, 1818, 1837, 1850, 1867, 1874, 1885, 1890, 1930, 1936, 1945, 1967, 1988, 1998, 2035, 2082, 2093, 2144, 2168, 2171, 2211, 2222, 2228, 2255]",0.44255458662676606,0.9803401561000673,0.41179225595801494,0.9535972530624937
H73BDOKEFMMGA77SL0NV,106,"[4, 93, 108, 122, 150, 160, 165, 170, 192, 213, 223, 233, 248, 264, 267, 281, 333, 348, 375, 381, 398, 409, 412, 438, 456, 472, 482, 515, 525, 536, 560, 589, 598, 623, 638, 646, 671, 1250, 1278, 1293, 1298, 1327, 1336, 1349, 1365, 1376, 1382, 1411, 1746, 1827, 1839, 1867, 1871, 1928, 1943, 1988, 2012, 2073, 2102, 2131, 2142, 2153, 2156, 2165, 2193, 2198, 2213, 2219, 2232, 2247]",0.4176522224253849,0.9920287719775446,0.39698404853233293,0.9220460129551038
5NSILXSTPR6S1PD0N9VA,106,"[4, 104, 160, 166, 171, 186, 215, 224, 239, 264, 267, 271, 281, 327, 333, 349, 373, 391, 493, 512, 546, 569, 591, 598, 627, 638, 646, 739, 747, 757, 785, 827, 836, 865, 869, 875, 886, 928, 947, 956, 982, 992, 1001, 1014, 1116, 1125, 1132, 1168, 1171, 1195, 1224, 1227, 1238, 1245, 1286, 1296, 1336, 1376, 1393, 1408, 1418, 1431, 1501, 1521, 1777, 1864, 1940, 1973, 1992, 2029, 2035, 2203]",0.4241014722694454,0.9888856147667944,0.4023026067950827,0.9587784186714667
U781BZFYQ36LQSR6480A,106,"[12, 29, 35, 49, 70, 104, 123, 165, 179, 193, 235, 243, 253, 267, 271, 309, 317, 321, 336, 353, 362, 379, 392, 446, 466, 504, 519, 525, 533, 560, 576, 593, 623, 652, 671, 1255, 1287, 1327, 1348, 1358, 1383, 1399, 1414, 1468, 1472, 1495, 1515, 1525, 1543, 1561, 1587, 1598, 1622, 1625, 1640, 1656, 1680, 1683, 1728, 1739, 1753, 1772, 1778, 1796, 1806, 1831, 1848, 1863, 1928, 1940, 2003, 2024, 2029, 2053, 2099, 2111, 2115, 2142, 2153, 2230, 2266]",0.44839613417276203,0.9725351527377957,0.412424714311858,0.9452364372150468
2SD8AAV5GVK2T1KRZUIF,106,"[6, 62, 83, 152, 173, 194, 235, 243, 264, 273, 286, 307, 338, 349, 375, 384, 396, 414, 443, 477, 485, 506, 510, 542, 593, 597, 652, 668, 679, 710, 725, 730, 739, 749, 755, 783, 801, 812, 834, 905, 912, 919, 928, 936, 953, 956, 961, 990, 1001, 1025, 1061, 1078, 1082, 1101, 1166, 1173, 1178, 1188, 1201, 1279, 1312, 1323, 1376, 1382, 1390, 1420, 1427, 1465, 1489, 1497, 1502, 1506, 1510, 1739, 1746, 1850, 1879, 1936, 1973, 1992, 2014, 2020, 2027, 2034, 2076, 2095, 2133, 2168, 2172, 2190, 2211, 2218, 2230, 2256, 2266]",0.4161419838451422,0.9989346510415487,0.38854661799930923,0.9430027986177718
N48PJ5CF5M68514AMZF7,106,"[12, 19, 34, 90, 98, 286, 292, 309, 355, 368, 373, 396, 414, 456, 462, 525, 535, 567, 600, 614, 638, 658, 668, 672, 990, 1009, 1053, 1061, 1076, 1084, 1098, 1241, 1252, 1282, 1286, 1296, 1312, 1321, 1344, 1357, 1374, 1379, 1406, 1415, 1434, 1438, 1448, 1465, 1485, 1495, 1513, 1726, 1931, 1936, 1950, 1958, 1965, 1979, 1985, 2003, 2015, 2022, 2029, 2034, 2040]",0.426640895489358,0.9839593202922532,0.3765930838845759,0.903270309687422
