id,seed,creation_mode,gmean_inv,dem_fpr,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
3NEHY3VH5F,103,inicialization,0.21577362916306442,0.03249747909128656,1.0,31,20,-1,0.1,100,1.0
IOBCOGI7SL,103,inicialization,0.2737388923170566,0.015841828160174445,1.0,31,20,-1,0.01,100,1.0
00OPFXMN64,103,inicialization,0.21259510157466133,0.03819106087182486,0.8256727699261772,45,36,15,0.11036687864699372,170,0.5136620393075944
M7SC4JI06Q,103,inicialization,0.2183407052371391,0.03708560356344922,0.9195362560449295,31,15,16,0.13499591859370486,173,0.3752032044279384
HGYSB94ZY2,103,inicialization,0.2714685951148724,0.028730238759006772,0.2618121709636534,55,9,15,0.07170020172669547,94,0.10905730045672268
PPOOYJFYB4,103,inicialization,0.262787020388351,0.023768567869641478,0.454298759481226,7,8,3,0.06221783377341486,147,0.30879154192502967
G3TZLLRX7C,103,inicialization,0.21946910101718098,0.03600238956725107,0.6992531166560262,40,27,13,0.10252685565990491,70,0.6825648052098471
EBYK01SS8U,103,inicialization,0.21596872473375528,0.03047510302537291,0.4141819719381712,18,3,16,0.09575065182410046,170,0.8157670920958524
JI328AH5BV,103,inicialization,0.22890421890438517,0.029273611099342164,0.15152488084013782,38,29,8,0.03229487470952766,152,0.6836771868105325
98HDIJ7WD9,103,inicialization,0.21430557645681514,0.03579160770423597,0.2533792755981428,17,18,15,0.16090563115349688,164,0.6215817600444995
4TM063OVGW,103,inicialization,0.2238197265971279,0.03207591536525637,0.2874586706743091,39,28,7,0.18684663801883347,119,0.7886979590276461
DR5BIL7GPU,103,inicialization,0.27954603524064525,0.019509503190326488,0.2907579493268825,42,14,4,0.022755894165059666,195,0.7872192823012366
RJ2UURG9ZH,103,inicialization,0.21925567042693517,0.033980013501337426,0.30021263413085353,62,8,14,0.07362470415053202,162,0.38835071129921916
29RCJ5K0AR,103,inicialization,0.21575955766771326,0.03830933880165745,0.6357147387563624,51,30,18,0.13498104994574747,191,0.4831255897285861
RWHQ9CB38M,103,inicialization,0.24769964276596146,0.026545098138905602,0.360908160238246,3,12,17,0.1478141047908779,173,0.3426110313479536
JM3T0NNSN3,103,inicialization,0.2667713212118912,0.023062430975118557,0.32615978208137886,7,8,9,0.07415496328532138,78,0.7038810589227222
TQKROH248U,103,inicialization,0.2972659011288512,0.017439109815585288,0.08849299861942617,5,7,7,0.056213987959997415,71,0.4046080787522678
V2AIPFYMPG,103,inicialization,0.26891968222523166,0.02647130683342796,0.09814473768311915,33,16,10,0.036281494334463926,54,0.4475753765272661
YE21XI5ZL2,103,inicialization,0.22013665618212075,0.03282653888413424,0.2748389261626015,46,2,4,0.16142277174734798,178,0.3732137316938322
