id,seed,creation_mode,gmean_inv,dem_fpr,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
P14TI18HQS,107,inicialization,0.22187677252294857,0.02252036593738982,1.0,31,20,-1,0.1,100,1.0
CRUMLMJ8IP,107,inicialization,0.25867646091981455,0.012314201414017699,1.0,31,20,-1,0.01,100,1.0
XHEKE5MJ3R,107,inicialization,0.2588543115907025,0.01187626417265119,0.08838221611915897,18,19,17,0.023555116552668308,96,0.9271853965696666
TCZTKOOG2N,107,inicialization,0.22851396074956043,0.022553767930375397,0.797802199609972,61,28,14,0.16186263919833155,125,0.8182253173908237
62VAYC5YH6,107,inicialization,0.22431422346452168,0.030421792944756818,0.9365427072282757,60,3,9,0.15116859685087622,130,0.6561077479704269
QYYX6PZ10I,107,inicialization,0.23459178143708326,0.029293547848354955,0.40779238719032407,29,31,20,0.1376262232704103,114,0.17358509199352684
IJEJAZPTUJ,107,inicialization,0.237354157393461,0.02793891146616193,0.4966968602883097,4,28,18,0.11921984882963667,186,0.316038340011368
SVGIJ2J0ND,107,inicialization,0.22673039832499475,0.026034997865983782,0.9060696267720126,9,13,14,0.13397069011605328,118,0.7451150848187015
ALMWQUTAB3,107,inicialization,0.2261184614012649,0.021095214236671676,0.9349018494450522,12,8,5,0.1062738474209634,145,0.6699652673415148
ID622UXWJN,107,inicialization,0.22610769456777002,0.032403644528567976,0.19454153032080224,26,11,9,0.1272097580793002,190,0.13541733700331499
4NRNGQD3RR,107,inicialization,0.23116953253476136,0.02969437176418193,0.7627687238760804,46,20,12,0.04697992907410016,107,0.40242840759648657
CX3JTUU0R6,107,inicialization,0.22110234198217482,0.021496038152498655,0.37767746722144124,28,10,10,0.10111927804012116,111,0.825395015323892
UJOTTHCEH8,107,inicialization,0.24119400341067432,0.017547180315092135,0.9900893793057157,59,4,8,0.031760937942928336,102,0.6469455749844354
PZ2QL06CJZ,107,inicialization,0.21817518004279113,0.02164078012210284,0.3198023022445109,27,12,11,0.158090126276526,115,0.8635444436965095
KNZIU23Z4C,107,inicialization,0.2649600344736227,0.015209040806101432,0.08870940661937676,59,30,5,0.04215322314786408,93,0.3994610115369317
068SYGR4UW,107,inicialization,0.2380560556279181,0.028013138117240998,0.575291562113984,6,33,19,0.18104143502166495,73,0.9659058477362106
OV0IKAXF7N,107,inicialization,0.22876385551893674,0.024498506188647032,0.053855406854460997,12,32,17,0.0644864719096702,183,0.6794584865524002
AWLVV3AWWC,107,inicialization,0.2175173550884183,0.027864684815082853,0.6055642490448813,20,24,6,0.12138692028249323,116,0.6523531377703959
AYQOCJ49R1,107,inicialization,0.23021322129925104,0.028451075358607508,0.32119742129015816,25,25,14,0.03671047953980652,143,0.40636762273116034
V5NYQY9CMT,107,inicialization,0.22197774225379296,0.017910890905379576,0.36761610052240656,11,11,12,0.14174254120674845,99,0.8630077214531241
BDDLMORT25,107,inicialization,0.2636789838355319,0.025489431980552615,0.509364204078244,3,19,15,0.13950689497973345,145,0.17982149603653
9JYW9A120A,107,inicialization,0.2763036719848809,0.013049045259700492,0.9255484925773118,10,4,8,0.017315962176683977,188,0.5455708318545248
5D03O9A5JJ,107,inicialization,0.23090202471355614,0.02292490118577075,0.4912704637272981,32,20,17,0.06969310041740005,78,0.9425405610471936
98HH1HDJ52,107,inicialization,0.23554305972007228,0.023548405054834937,0.13033440755422687,25,29,9,0.05416129253962207,112,0.37219372427261377
D6XVPYMVJE,107,inicialization,0.6200734210233407,1.0,0.06050143142688058,2,19,3,0.010299315230878825,132,0.5336256372013386
NI0X8700FO,107,inicialization,0.22448333035692858,0.026651079069940055,0.12683773089566042,41,10,14,0.18402317770590793,190,0.42411675309864727
YTASKLD27F,107,inicialization,0.22669037633897648,0.03035498895878565,0.29253050122454416,51,8,11,0.19771606584524593,80,0.134741082820947
6IFYGZ7KIC,107,inicialization,0.31378973886054773,0.012833787971571194,0.7915893324106874,17,26,16,0.05638363981340237,53,0.1901136863221965
YX6V66DPKN,107,inicialization,0.21826986639994916,0.022887787860231212,0.8671397499818515,37,9,17,0.05276837698209709,138,0.7413977725048705
