id,seed,creation_mode,gmean_inv,dem_fpr,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
J33LZW16H8,100,inicialization,0.21849617478332106,0.017832521147864086,1.0,31,20,-1,0.1,100,1.0
HF3QDNVOTN,100,inicialization,0.26709446603918785,0.0010775472647465145,1.0,31,20,-1,0.01,100,1.0
LJMWX0NZ39,100,inicialization,0.21596159825289085,0.013081722630090983,0.27577879206204436,50,16,16,0.13130665185732934,77,0.6424859423634749
JKMKBP2YI9,100,inicialization,0.22757881963302773,0.012144906304468087,0.7568616268673837,5,11,12,0.18640923854970542,157,0.7207847008953773
V7V8X4ZDGT,100,inicialization,0.21319354394871015,0.015430365636354033,0.6515067326609668,17,34,17,0.14580129156344854,165,0.5622210750058133
5QJDUKDRHD,100,inicialization,0.21326515497369725,0.021305274248114556,0.7820746719491745,55,36,10,0.05112759570522455,171,0.7545090400531298
WV3AH4M7HN,100,inicialization,0.22219426590420865,0.016581231982964954,0.04394281200949124,45,6,13,0.03878432592386031,197,0.6790890032726516
8C2KD4DMPK,100,inicialization,0.2807972977117874,0.0056744104589844,0.0943398478556513,10,26,4,0.022692081336931264,192,0.46181946868576607
8142V37MQ0,100,inicialization,0.21746259891456554,0.015249674060195312,0.14533077051074172,15,18,17,0.1235966111802128,197,0.46070690053622576
QGMODYRART,100,inicialization,0.25724120290626673,0.01193745847568586,0.03774654818109302,4,33,7,0.08650444538780064,148,0.297702919454738
BFWU2CLFBW,100,inicialization,0.22297108732070814,0.014520305563354638,0.845998993521549,35,8,13,0.13965095780558745,52,0.3878077831611989
ZLYY2MNK9R,100,inicialization,0.21613550916850544,0.024122325417189047,0.07317223865851641,29,30,9,0.17260217972870026,126,0.6863218066894763
IHODZ31WFE,100,inicialization,0.2853873875768902,0.0011043035173700227,0.04666225543471203,28,3,4,0.030182127884907782,63,0.6627840303302825
G9JI9JKWYG,100,inicialization,0.21456466991490075,0.025507395845205696,0.6457319098243018,31,14,13,0.17849418512705473,121,0.8509148586792934
OWOCAO6H9F,100,inicialization,0.25913863300949735,0.013610245490355239,0.12500202260471083,40,4,10,0.1070183821075998,81,0.14276366501865823
6QB77GLCO3,100,inicialization,0.39935418421724356,0.002629757400709979,0.9865162424356801,3,10,16,0.0328194989948355,95,0.37576345633311325
2MUFKVJM1F,100,inicialization,0.2623893428889922,0.004838016951649711,0.08758383479040988,38,14,4,0.031045116143637135,190,0.9145094961996333
N7K4C82WAF,100,inicialization,0.28439482878989963,0.0084980638202647,0.49717385367110556,28,16,5,0.044271011493701384,90,0.29576508147682046
SZZQVBRP7L,100,inicialization,0.22671013661026984,0.016373784154182735,0.05247007803609127,27,29,4,0.15962608126642816,121,0.292483015331994
7PZB3VCQ5D,100,inicialization,0.22138737791236507,0.01968599973869218,0.7905957927872481,23,37,6,0.12049204071602838,136,0.7488610070692108
S8ZXUKILV5,100,inicialization,0.4157026457301345,0.0027100261585804863,0.7738113880136586,39,11,10,0.028546796223635047,82,0.16932065428112947
FBR4OV0CR4,100,inicialization,0.2623058697198106,0.00935461138801709,0.34415402777089477,23,29,3,0.0646946198021604,142,0.2424382763875919
TOZ1CARF8G,100,inicialization,0.21360981726770856,0.01522291780757181,0.823990544644493,19,18,17,0.11127057934394959,161,0.6629632815544216
