id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
QDJBUUYQMX,crossover,0.2953575212799676,0.004804658506820408,1,5,11,1843,4
31IDM85QMA,crossover,0.2926814831983493,0.011562870938956832,0,27,13,653,6
MRQD438AHT,crossover,0.2581294030532373,0.014607523997231253,0,26,10,637,5
8IWF5VU856,crossover,0.2555894927471004,0.007039674310383659,1,21,36,1315,5
WM4GMARW3J,mutation,0.25531414677912034,0.015631211272930462,0,16,36,905,5
WLOUJENIWP,mutation,0.3304942309230863,0.007052878694795255,1,25,32,1721,7
WLLH8R501U,mutation,0.3062146754733064,0.000421150365969937,0,20,22,1310,6
EXN2KCYOSC,crossover,0.26270407990457856,0.025032385490188443,1,15,25,2485,5
Z5RYBGZAUF,crossover,0.26881294440317716,0.016882500437829587,0,15,15,2453,5
I709N3AZN8,crossover,0.27117939475999664,0.009087048861782063,1,9,30,1527,5
58GF99M342,mutation,0.2120661194137876,0.03767905840229728,0,8,19,1168,4
29KU9T723T,mutation,0.36035587640132993,0.008257257546653178,1,22,19,1800,8
YB0K88LZ5C,mutation,0.32102188206550786,0.013991782703090386,1,25,16,1085,7
NS11ULXQQM,crossover,0.2079673176560618,0.04629109690906211,0,28,34,1143,3
YPSHSEHBLE,mutation,0.2033265315887225,0.09044690586524855,0,26,34,1146,2
3SIWN0TZBX,crossover,0.2963229625013699,0.007019520249965945,0,29,34,757,6
SLKWWEAZQ9,crossover,0.2974790802864322,0.006497599581907494,0,26,34,720,6
9NIDLQ9K0Q,crossover,0.21054541542337823,0.09853007402794883,0,25,23,1122,2
P4YH939ZV9,mutation,0.21056557293238487,0.09618143102168578,0,24,28,790,2
B1N0WOMTKQ,crossover,0.20574424769884048,0.04534072871522728,0,12,17,535,4
AU9BMJ6UIR,crossover,0.176719296436733,0.0632267623683384,0,11,14,444,3
4L7LV4S4SF,crossover,0.25672121354035204,0.023272727525442752,1,24,23,1189,5
